登場人物,セリフ,備考,番号
男性E,で?祟ったソースあるんか,スレ①,5
男性A下,清涼殿落雷事件を知らんとはな,スレ①,6>>5
女性B,"それな、
あれだけはガチで震える",スレ①,7
男性C下,落雷で人死んでるからな,スレ①,8>>6
女性D,マ?,スレ①,9
男性E,"道真な、
学者の家系の出やのに学問一本で右大臣まで上り詰めた秀才や。
実力で出世コースぶち抜いたから、
上級貴族から見たら目障りな成り上がりやったんやろな",スレ①,10
男性A下,成り上がりは恨まれるわな,スレ①,11>>10
女性B,"事の起こりは昌泰の変や。
901年に藤原時平の讒言で大宰府に飛ばされた",スレ①,12
男性C下,"讒言の中身は、
道真が娘婿の斉世親王を立てて醍醐天皇を廃そうとしてる、
みたいな話やったと伝わるで",スレ①,13>>12
女性D,完全な濡れ衣やん,スレ①,14
男性E下,"諸説あるで。
道真も学者のくせに権力を握りすぎてた、
それを警戒されたって見方もある。
完全な被害者と決めつけるのは早いわ",スレ①,15>>13
男性A,はえ〜,スレ①,16
女性B,大宰府っていうと九州の左遷ポストやんな,スレ①,17
男性C下,"実質の流刑やな。
右大臣からいきなりやで",スレ①,18>>17
女性D,そらキレるて,スレ①,19
男性E,"道真は903年に大宰府で失意のうちに果てた。
京には二度と戻れんかった。
子供らも各地に流されて一家はバラバラ",スレ①,20
男性A下,かわいそすぎる,スレ①,21>>20
女性B,ここからが本番やぞ,スレ①,22
男性C,"讒言の張本人の時平が909年に亡くなる。
まだ39や。
これが祟りの一発目って言われとる",スレ①,23
女性D下,39は若いな,スレ①,24>>23
男性E,陥れた本人が真っ先に逝くの出来すぎやろ,スレ①,25
男性A下,結果論ちゃうんか,スレ①,26>>23
女性B,言うと思ったて,スレ①,27
男性C,でも続きがエグいぞ,スレ①,28
女性D大,"続きがあってな。
時平が逝ったあとも、
醍醐天皇の皇子や立てたばかりの皇太子が次々に亡くなっていく。
次世代の後継ぎ候補が相次いで消えて、
しかもその多くが時平の血筋やった。
偶然で片づけるには固まりすぎや",スレ①,29
男性E,こわ,スレ①,30
男性A,一族の跡継ぎが消えるって当時いちばんこたえるやつや,スレ①,31
女性B,当時の医療やと幼い子が亡くなるのは普通やったって聞いたけどな,スレ①,32
男性C下,"それ言い出したらキリないやん、
はい解散レベル",スレ①,33>>32
女性D下,"当時の人らはガチで道真の祟りやと思っとった。
そこが肝心やぞ",スレ①,34>>33
男性E,雰囲気が完全にホラーやん,スレ①,35
男性A,極めつけが930年の清涼殿落雷事件やな,スレ①,36
女性B,きた,スレ①,37
男性C,これが一番ヤバいやつ,スレ①,38
女性D,"清涼殿は天皇が住む内裏の中心や。
日照り続きで雨乞いの相談をしてた最中、
そこへ雷が直撃した",スレ①,39
男性E下,会議中ってことか,スレ①,40>>39
男性A下,"せや。
公卿が集まって政務を議論してる真っ最中やで。
そこに落ちた",スレ①,41>>40
女性B,タイミング悪すぎやろ,スレ①,42
男性C大,"議定の場やった。
大納言の藤原清貫が雷に打たれて即死、
右中弁の平希世も顔を焼かれて倒れる。
ほかにも複数の公卿が髪や衣を焼かれて死傷した。
御所のど真ん中が一瞬で火と煙の地獄絵図に変わる",スレ①,43
女性D,うわ,スレ①,44
男性E,描写がガチで地獄やん,スレ①,45
男性A,御所のど真ん中に雷とか確率おかしいて,スレ①,46
女性B下,"しかも即死した清貫は時平サイドの人間やぞ。
道真を陥れた一派や",スレ①,47>>43
男性C下,ピンポイントで草,スレ①,48>>47
女性D,いや草言うてるけど普通にこわいて,スレ①,49
男性E,"これで朝廷は完全にビビり倒した。
雷が落ちたんやのうて、
道真が雷神になって討ち入りに来た、
って解釈に変わった",スレ①,50
男性A下,"雷神化な、
ここで天神信仰につながる",スレ①,51>>50
女性B,"醍醐天皇はこの落雷を目の当たりにしてから体調を崩した。
三ヶ月ほどで譲位して、
そのまま程なく崩御したと伝わるで",スレ①,52
男性C,落雷見て寝込んでそのまま逝ったんか,スレ①,53
女性D,"自分が陥れた相手が雷神になって御所に戻ってきたんやからな。
メンタル無理やったと思うで",スレ①,54
男性E,因果応報がきれいにハマりすぎてて怖いな,スレ①,55
男性A,ここまでくると偶然とは言わせん空気やな,スレ①,56
女性B下,"いやでも雷は自然現象やろ。
日照りの夏に高い建物へ落ちただけちゃうんか",スレ①,57>>56
男性C,出たw逆張りニキ,スレ①,58
女性D下,"逆張りちゃう、
冷静に見たら確率の問題やろ。
すぐ信者扱いすんの見苦しいわ",スレ①,59>>58
男性E大,"科学的にはその通りやで。
避雷針もない時代に檜皮葺きの高い御殿が雷を呼ぶのは自然なこと。
ただ当時の人間には、
よりによって清貫がピンポイントで討たれた事実が全てやった。
理屈と恐怖は別腹なんやって",スレ①,60
男性A,わかる,スレ①,61
解説者,"930年（延長8年）、
平安京の内裏の中心・清涼殿に雷が落ちた。
長雨と日照りに苦しむ朝廷が、
雨乞いの儀を議していた最中の惨事であったという。",解説：清涼殿の落雷,1
解説者,"直撃を受けた大納言・藤原清貫が絶命し、
ほかにも複数の公卿が傷を負った。
道真を陥れた側の者が雷に討たれたことで、
人々は左遷の地で亡くなった菅原道真が雷神となって戻った、
すなわち祟りだと震え上がった。",解説：清涼殿の落雷,2
解説者,"醍醐天皇もこの直後に病に伏し、
程なく崩御した。
道真を天神・雷神として畏れ祀る信仰を決定づけた、
祟り伝説の頂点とされる事件である。",解説：清涼殿の落雷,3
女性B,"で、
朝廷はどうやって鎮めたんや",スレ①,62
男性C下,"北野天満宮や。
947年に道真を祀る社が京の北野に建てられた",スレ①,63>>62
女性D,北野ってたしか道真が雷落とした神社やったっけ,スレ①,64
男性E下,"混同しとるで。
雷が落ちたんは清涼殿、
北野は祀るために後から建てた社や",スレ①,65>>64
男性A,"あ、
そうなんか。
サンガツ",スレ①,66
女性B下,"太宰府天満宮もやな。
道真が葬られた墓所に建てられたやつ",スレ①,67>>62
男性C,"怒らせたから神社建てて拝みますって、
現金すぎん?",スレ①,68
女性D下,"御霊信仰っていうてな。
恨みを抱えて非業に果てた人を逆に神として丁重に祀って、
その荒ぶる力を守り神に変える。
将門の神田明神と同じ発想で、
当時は当たり前の鎮魂法やった",スレ①,69>>68
男性E,なるほどな,スレ①,70
男性A下,"道真は生前ガチの学者やったから、
天満宮には自然と学問成就の願掛けが集まった。
雷神として恐れられた怨霊が、
いつのまにか学問の神様に転化したんや",スレ①,71>>69
女性B,ここ皮肉効いてるよな,スレ①,72
男性C下,"祟りで都を震え上がらせた怨霊が、
今や受験生のお守りやからな",スレ①,73>>71
女性D下,"合格祈願で手合わせてる学生、
雷で人が死んだ話なんて知らんて",スレ①,74>>73
男性E,知らんままでええんやでw,スレ①,75
男性A,"全国の天満宮の数えぐいからな。
それだけ信仰が根を張った証拠やと思うで",スレ①,76
女性B,鎮魂が成功しすぎた結果やな,スレ①,77
解説者,"天神信仰とは、
菅原道真の霊を天神として祀る信仰である。
無実の罪で大宰府に左遷され失意のうちに亡くなった道真は、
死後に都で起きた落雷や災いの元凶として恐れられた。
その祟りを鎮めるため、
947年に北野天満宮が、
墓所には太宰府天満宮が建てられた。",解説：天神信仰,1
解説者,"恨みを残した霊を手厚く神として祀り、
守り神へと転じさせる御霊信仰の代表例である。
やがて雷神として畏れられた天神は、
生前の学識ゆえに学問の神へと姿を変え、
今日の受験生が合格を祈る信仰へとつながっている。",解説：天神信仰,2
男性C,飛梅伝説も語らなあかんやろ,スレ①,78
女性D,"それや、
あれ好きなんよ",スレ①,79
男性E下,"道真は梅をめちゃくちゃ愛しとってな。
左遷で京を発つとき、
庭の梅にこう詠み残した",スレ①,80>>78
男性A,東風吹かば匂ひおこせよ梅の花 主なしとて春な忘れそ,スレ①,81
女性B,これ教科書で見た記憶あるな,スレ①,82
男性C下,"春風が吹いたら香りを届けてくれ、
主人がいなくなっても春を忘れるな、
って意味やな。
流される身の切実さがにじんでて好きや",スレ①,83>>82
女性D,切なすぎるやろ,スレ①,84
男性E下,"主人を慕った庭の梅が、
一夜で京から大宰府まで飛んで根を下ろしたと伝わるんや。
それが飛梅やな。
陰惨な怨霊話のなかでここだけ妙に美しいのが落差や",スレ①,85>>82
男性A下,梅が空飛ぶんか,スレ①,86>>85
女性B,"伝説やからな。
でもロマンあるで",スレ①,87
男性C下,"太宰府天満宮の飛梅は今も実在しとるで。
樹齢千年超とか聞いたな",スレ①,88>>85
女性D,それは見に行きたいわ,スレ①,89
男性E,結局道真の祟りって本当やったんかな,スレ①,90
男性A下,"わからん。
でも怨霊化したのは追い込んだ藤原氏側の罪悪感の裏返し、
って説が一番有力やと思う",スレ①,91>>90
女性B大,"それやな。
無実の人間を異郷で果てさせた後ろめたさが下地にあったんや。
せやから時平の死も皇子の死も落雷も、
本来バラバラの出来事を後から一本の祟りに繋いで見てしもた。
結局、
恐怖があとから因果をこしらえたんやろな",スレ①,92
男性C,それが一番しっくりくるな,スレ①,93
女性D,落雷も時平の死も別々の災いを後付けで結んだだけかもしれんしな,スレ①,94
男性E,結果論や言うたらそれまでやけどな,スレ①,95
男性A下,"でも無実で左遷されて異郷に果てた人間が、
千年後に神として全国で祀られとる。
その事実だけは動かんやろ",スレ①,96>>95
女性B,それはそうやな,スレ①,97
男性C,"祟りが本物かどうかより、
それだけ長く人の心に残ったってのがすごいて",スレ①,98
女性D,"怨霊が学問の神になって受験生守っとるとか、
道真も草葉の陰で苦笑いしとるやろな",スレ①,99
男性E下,きれいに着地したな,スレ①,100>>99
男性A,飛梅見に太宰府行くわ,スレ①,101
女性B,報告待っとるでw,スレ①,102
男性C,梅の季節に合わせて行けよ,スレ①,103
女性D,受験前に寄っとくか,スレ①,104
男性E下,雷だけは気をつけろよw,スレ①,105>>104
男性A,"解散や、
飯食ってくる",スレ①,106
解説者,"ここまでは、
菅原道真の怨霊伝説や、
都を襲った祟りについてのさまざまな議論を見てきたが、",前置き,1
解説者,"「そもそも道真とは、
どんな人物だったのか」と、
その生涯に疑問を持つ者も現れた。
一介の学者が、
なぜ右大臣にまで上りつめ、
そして遠い大宰府へと追われることになったのだろうか。",前置き,2
解説者,"学問の家に生まれ、
栄達を極めながらも讒言によって失脚した、
その数奇な生涯とは、
一体どのようなものだったのか。",前置き,3
解説者,"引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,4
男性A,菅原道真って結局なにした人なんや 名前だけは知ってる,スレ②,1
女性B下,学問の神様やろ 天神様,スレ②,2>>1
男性C,受験前に太宰府天満宮行ったわ,スレ②,3
女性D,怨霊のイメージしかない,スレ②,4
男性E下,いや怨霊になる前の話しようや 普通にすごい人やぞ,スレ②,5>>4
男性A下,なにがすごいんや,スレ②,6>>5
女性B下,学者の家に生まれて政治のトップまで上り詰めた人や 当時としては異例中の異例,スレ②,7>>6
男性C,"菅原氏って代々学問の家なんよな。
祖父も父も文章博士やったらしい。
道真もその英才教育受けて育った神童タイプや",スレ②,8
女性D下,文章博士ってなんや,スレ②,9>>8
男性E,大学寮で詩文と歴史を教える教授職や 学者の最高位みたいなもん,スレ②,10
男性A,845年生まれな 平安前期や,スレ②,11
女性B,5歳で和歌詠んだとか11歳で漢詩作ったとか神童エピソードがてんこ盛りや,スレ②,12
男性C下,それはさすがに盛ってるやろ,スレ②,13>>12
女性D,"まあ盛ってるかもしれんが、
実際に若くして文章生に受かって、
その後試験も突破してるから地頭は本物や",スレ②,14
男性E,学者として順調やったんやな,スレ②,15
男性A下,"そう 普通ならそこで終わるはずやった。
一介の学者で人生終わるはずが、
運命が変わったんよ",スレ②,16>>15
女性B,宇多天皇との出会いやな,スレ②,17
男性C下,"宇多天皇に気に入られたんよ。
当時は藤原氏が摂関で権力握っとったから、
天皇は藤原氏に対抗できる人材を探しとった。
そこで家柄に縛られん学者の道真が抜擢されたんや",スレ②,18>>17
女性D,なるほど 政治的な事情もあったんか,スレ②,19
男性E,"宇多天皇は藤原基経が死んだあと摂政関白を置かんかった。
自分で政治やろうとして、
その右腕に道真を選んだんや",スレ②,20
男性A下,学者がいきなり政治家かよ,スレ②,21>>20
女性B,それが異例なんや 普通は貴族の家柄で出世が決まる時代やぞ,スレ②,22
男性C,"蔵人頭になって、
そっから一気に駆け上がっていく",スレ②,23
女性D下,スピード出世やん,スレ②,24>>23
男性E,"894年、
遣唐使の廃止を建議したのが道真や これは教科書に載っとる",スレ②,25
男性A下,それな 894で白紙に戻す遣唐使,スレ②,26>>25
女性B,語呂合わせ世代がおるな,スレ②,27
男性C下,"道真自身が遣唐大使に任命されてたんよ。
でも唐がもう衰退してて、
危険を冒して渡る価値がないと判断して廃止を提案した",スレ②,28>>25
女性D下,自分が行きたくなかっただけちゃうんか,スレ②,29>>28
男性E,それは草,スレ②,30
男性A,"いや実際唐は黄巣の乱とかで国内ボロボロやったし、
航海も命がけやったから合理的な判断やぞ",スレ②,31
女性B下,遣唐使ってそれまで何百年も続いてたんやろ いきなり廃止はすごい決断やな,スレ②,32>>31
男性C,結果的にこのあと国風文化が花開くきっかけになった言われとる,スレ②,33
女性D,かな文字とか源氏物語とかな,スレ②,34
男性E,道真の判断が日本文化変えたとも言える,スレ②,35
解説者,"遣唐使とは、
奈良から平安にかけ、
日本が唐の進んだ文化や制度を学ぶため海を越えて派遣した使節である。
だが航海は遭難の危険が常につきまとうものであった。",解説：遣唐使の廃止,1
解説者,"894年、
遣唐大使に任じられた菅原道真は、
唐が内乱で衰退していることと渡航の危険を理由に、
派遣の停止を朝廷へ建議し、
これが認められた。",解説：遣唐使の廃止,2
解説者,"大陸文化の直輸入が止まったことは、
のちに日本独自の国風文化が花開く一因になったとされる。",解説：遣唐使の廃止,3
男性A,宇多天皇が譲位して醍醐天皇の代になっても道真は重用された,スレ②,36
女性B,899年に右大臣まで上り詰める 学者出身では破格やぞ,スレ②,37
男性C下,右大臣ってどんくらいすごいんや,スレ②,38>>37
女性D下,"太政官のナンバー2や 上に左大臣がおるだけ。
事実上の政権中枢や",スレ②,39>>38
男性E下,その左大臣が藤原時平やな,スレ②,40>>39
男性A,出たな時平,スレ②,41
女性B,道真と時平で右大臣左大臣のツートップ体制になったわけや,スレ②,42
男性C,完全に対立構図やん,スレ②,43
女性D下,"時平からしたら面白くないわな。
藤原氏の本流が代々独占してきた地位に、
学者風情が並んできたんやから",スレ②,44>>43
男性E,道真は宇多上皇の後ろ盾もあったしな,スレ②,45
男性A下,上り詰めすぎたんよ 出る杭は打たれる,スレ②,46>>44
女性B,家柄超えて出世したツケが回ってくる,スレ②,47
男性C,ここから転落が始まるんやな,スレ②,48
女性D,"右大臣まで一気に行ったから、
周りの貴族にめっちゃ妬まれたんや。
藤原氏だけやなく、
ほかの公卿も学者が政治牛耳るのを快く思っとらんかった",スレ②,49
男性E下,敵だらけやん,スレ②,50>>49
男性A,"901年、
昌泰の変や",スレ②,51
女性B下,なにがあったんや,スレ②,52>>51
男性C,"時平が醍醐天皇に讒言したんよ。
道真が天皇を廃して、
娘婿の斉世親王を皇位につけようと企んでる、
と",スレ②,53
女性D下,斉世親王って宇多天皇の子やろ,スレ②,54>>53
男性E下,"そう 道真の娘が斉世親王に嫁いでた。
それを利用して謀反の疑いをかけられたんや",スレ②,55>>54
男性A下,完全に言いがかりやんけ,スレ②,56>>53
女性B,証拠とかあったんか,スレ②,57
男性C下,ほぼ無いに等しい 状況証拠だけで仕立て上げられた冤罪というのが通説や,スレ②,58>>57
女性D下,醍醐天皇は信じたんか,スレ②,59>>58
男性E下,"信じたというか、
藤原氏の勢力に押されて道真を切り捨てた形やな。
若い天皇やったし",スレ②,60>>59
男性A,宇多上皇は助けようとせんかったんか,スレ②,61
女性B下,"上皇は道真を救おうと醍醐天皇に会いに行ったんやけど、
門前払いされて会えんかった言われとる",スレ②,62>>61
男性C,えぐいな,スレ②,63
女性D,上皇すら止められん政変やったんよ,スレ②,64
男性E下,"で、
道真はどうなったんや",スレ②,65>>64
男性A,大宰権帥として大宰府へ左遷や 事実上の流刑やな,スレ②,66
女性B下,大宰府ってめっちゃ遠いやん 九州やろ,スレ②,67>>66
男性C,"都から見たら最果ての地や。
しかも大宰権帥は名ばかりで、
実権も給料もほぼ無い名目だけの役職やった",スレ②,68
女性D下,体のいい追放やん,スレ②,69>>68
男性E,そういうことや,スレ②,70
男性A,道真の子供たちも全員地方に流された 一家離散や,スレ②,71
女性B下,そこまでやるか,スレ②,72>>71
男性C下,藤原氏は道真の影響力を完全に消したかったんやろな,スレ②,73>>71
解説者,"昌泰の変とは、
901年、
右大臣・菅原道真が左遷された政変である。
左大臣・藤原時平が、
道真は醍醐天皇を廃して娘婿の斉世親王を皇位につけようとしている、
と讒言したことに端を発する。",解説：昌泰の変,1
解説者,"確たる証拠のない冤罪というのが通説で、
道真は大宰権帥として九州の大宰府へ送られた。
実権のない名目だけの役職であり、
事実上の追放であった。",解説：昌泰の変,2
解説者,"これにより道真は二度と都の土を踏むことなく、
失意のうちに大宰府で生涯を終えるのである。",解説：昌泰の変,3
女性D,都を去るとき詠んだ歌が有名やな,スレ②,74
男性E下,東風吹かばにほひおこせよ梅の花あるじなしとて春な忘れそ ってやつな,スレ②,75>>74
男性A,梅の花に語りかけた歌やな 自分が育てた梅への別れ,スレ②,76
女性B,これが飛梅伝説につながるんよな,スレ②,77
男性C,切ない歌やわ,スレ②,78
女性D下,大宰府での暮らしはどうやったんや,スレ②,79>>77
男性E,"大宰府の道真は政庁にも出してもらえんで、
あてがわれた粗末な館にほぼ軟禁状態やった。
飯も乏しい、
すきま風の吹く家で、
わずかな従者と困窮の日々を送ったって伝わる",スレ②,80
男性A下,右大臣からそこまで落ちるか,スレ②,81>>80
女性B,天国から地獄やな,スレ②,82
男性C,"道真が大宰府で詠んだ詩が残っとる。
都を思い、
無実を訴え、
わが身の不遇を嘆く漢詩を数多く作った。
中でも家族を思う詩は読むと胸が痛むレベルや",スレ②,83
女性D下,漢詩の大家やもんな 最後まで詩を書き続けたんか,スレ②,84>>83
男性E,それしかできることが無かったとも言える,スレ②,85
男性A,都に帰りたかったやろなあ,スレ②,86
女性B,二度と帰れんかったからな,スレ②,87
男性C,"903年、
道真は大宰府で亡くなった。
無実を晴らされんまま、
都に二度と帰れんかったんやな。
享年59や",スレ②,88
女性D下,59ってまだ若いやん 今で言うたら,スレ②,89>>88
男性E,"当時としては年寄りやけど、
それでも無念やったやろ",スレ②,90
男性A下,右大臣まで上り詰めた男の最期がこれか,スレ②,91>>88
女性B下,"学者が政治のトップに立った稀有な例やったけど、
だからこそ既得権益に潰されたんよな",スレ②,92>>91
男性C,家柄の壁を実力で破った結果がこれやと思うとやるせんわ,スレ②,93
女性D,才能ありすぎたのも罪やったんかもな,スレ②,94
男性E,"遺骸を牛車で運ぶ途中、
牛が動かんくなった場所に葬ったいう伝説がある。
そこが今の太宰府天満宮や",スレ②,95
男性A下,へえ そこに祀られてるんか,スレ②,96>>95
女性B,結局生きてる間は報われんかったんやな,スレ②,97
男性C下,それな 評価されたのは死後や,スレ②,98>>97
女性D,"このあと都で異変が相次いで怨霊や祟りや言われるんやけど、
それはまた別の話や",スレ②,99
男性E下,"生前の道真は、
ただひたすら真面目に学問と政治に尽くした人やったというのが本当のとこやろ",スレ②,100>>99
男性A,"学問の神様として祀られてるのは、
せめてもの償いなんかもしれんな",スレ②,101
女性B下,"神童から右大臣、
そして左遷からの客死か 浮き沈み激しすぎる人生やな",スレ②,102>>101
男性C,"実力で成り上がった分、
敵も多かったんやろ",スレ②,103
女性D,"受験前に手を合わせる相手が、
こんな壮絶な人生送ってたとはな",スレ②,104
男性E下,もっぺん太宰府天満宮行きたくなったわ,スレ②,105>>104
男性A,"道真が報われんかった分、
今は学問の神様として一番人気やからな ある意味勝ち組や",スレ②,106
女性B下,死後に報われるパターンの代表格やな,スレ②,107>>106
男性C,合掌,スレ②,108
解説者,本日はここまで。,締め,1
解説者,"今回は、
菅原道真の怨霊伝説とその生涯についてのさまざまな議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,"幼くして詩才を示し、
宇多天皇の信任を得て右大臣にまで上り詰めた学者が、
藤原時平の讒言によって大宰府へ左遷され、
失意のうちにこの地で世を去った。
やがて都を襲った清涼殿の落雷をはじめとする度重なる異変は道真の祟りと噂され、
人々はその霊を北野天満宮に祀ることで鎮めようとした。
栄達と転落、
そして畏れと崇敬のあいだで揺れ続けたその姿に、
スレの住民たちもまた、
どこか後ろめたさのにじむ語り口で向き合っていたように思えた。",締め,3
解説者,"罪なくして陥れられた者が、
最強級の怨霊として恐れられ、
やがて学問の神として親しまれていく。
その大きな振れ幅のなかに、
栄華を妬み、
貶め、
そして祟りに怯えてようやく手を合わせた、
当時の人々のままならない心が透けて見えるようで、
なんとも言えない余韻が残る話であった。",締め,4
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！,締め,5
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,6
