登場人物,セリフ,備考,番号
男性C,戦って終わりちゃうんやな,スレ②調整役の中身,8
女性D下,戦国の面倒くささは戦後処理やからな,スレ②調整役の中身,9>>8
男性E,"四国平定のあと、
秀長は大和・紀伊・和泉を与えられて大和郡山城を本拠にする。
ここがでかい。
畿内のすぐ横で、
寺社勢力も国衆も古い権威も残る大和を任されるのは、
信頼がないと無理",スレ②調整役の中身,10
男性A下,"大和って今の奈良やろ？
寺多そう",スレ②調整役の中身,11>>10
女性B下,"興福寺とか東大寺とか、
歴史ある勢力が多い。
武力で押せば終わる土地やない。
そういうややこしい土地で検地や統治を進めるには、
強さより揉め事を収める力がいる",スレ②調整役の中身,12>>11
男性C下,いかにも秀長向きやな,スレ②調整役の中身,13>>12
女性D下,でも検地って秀吉の政策ちゃうんか,スレ②調整役の中身,14>>10
男性E下,"政策の方向は秀吉でも、
現地で帳簿を作り、
田畑を測り、
反発を押さえ、
家臣に実務をやらせるのは現場の仕事や。
秀長家中では藤堂高虎らが実務で頭角を現した",スレ②調整役の中身,15>>14
男性A下,藤堂高虎って築城の人やん,スレ②調整役の中身,16>>15
女性B下,"そう。
のちに城づくりと世渡りで有名になる高虎も、
秀長の家臣として経験を積んだ。
秀長本人だけでなく、
有能な実務家を抱えて育てたのが地味に重要なんよ",スレ②調整役の中身,17>>16
解説者,"藤堂高虎は、
のちに築城の名手として知られる戦国武将である。",解説：藤堂高虎と秀長家中,1
解説者,"若い頃は主君を何度も替えた人物として語られがちだが、
豊臣秀長に仕えていた時期に、
大和での検地や実務経験を積んだことも重要である。",解説：藤堂高虎と秀長家中,2
解説者,"秀長の家中には、
こうした現場型の人材が集まっていた。
秀長本人が政権の調整役であっただけでなく、
その周囲にも実務を動かせる人材が育っていたことが、
豊臣政権の安定を支えていた。",解説：藤堂高虎と秀長家中,3
男性C下,人材育成までしてるの強い,スレ②調整役の中身,18>>17
女性D下,なんか「いい上司」感が増してきた,スレ②調整役の中身,19>>18
男性E,"次が九州平定。
秀長は日向方面の総大将として島津と向き合う。
根白坂では豊臣方が砦を固めて、
島津の攻勢を受け止めた。
ここで崩れなかったから島津の降伏につながる",スレ②調整役の中身,20
男性A下,島津相手に守り切るの普通に大仕事やん,スレ②調整役の中身,21>>20
女性B下,秀長って前線の総大将もできるんか,スレ②調整役の中身,22>>21
男性C下,"できるというより、
秀吉が任せられる数少ない身内やった。
四国も九州も、
相手は地方の大勢力。
勝ったあとに豊臣政権へ組み込むまでが仕事やから、
軍事と外交の両方が要る",スレ②調整役の中身,23>>22
女性D下,武将というより政権運営の担当者やな,スレ②調整役の中身,24>>23
男性E,"そこで有名なのが「内々は宗易、
公儀は宰相」って言葉やな",スレ②調整役の中身,25
男性A下,"出た、
急に漢文っぽいやつ",スレ②調整役の中身,26>>25
女性B下,宗易って千利休？,スレ②調整役の中身,27>>26
男性C大,"そう。
大友宗麟が島津に圧迫されて秀吉へ助けを求めたとき、
秀吉が「内々のことは宗易、
公式なことは宰相に任せている」みたいに言ったとされる。
宰相が秀長。
つまり公的な政務や大名との取り次ぎを秀長が担っていたことを示す言葉や",スレ②調整役の中身,28
女性D,公儀は秀長って字面が強い,スレ②調整役の中身,29
男性E下,秀吉本人じゃなくて秀長に話通せってことか,スレ②調整役の中身,30>>29
男性A,"そう受け取れる。
秀吉はトップやけど、
全部の相談を本人が処理したら回らん。
大名から見ると、
秀長に話を通せば政権の正式な窓口につながる。
これが調整役の中身や",スレ②調整役の中身,31
女性B下,それもう副社長どころか官房長官やん,スレ②調整役の中身,32>>31
男性C下,例えが急に現代政治で草,スレ②調整役の中身,33>>32
女性D下,でも利休も窓口なんやな,スレ②調整役の中身,34>>31
男性E下,"内々、
つまり私的・茶の湯・人間関係のところを利休が担い、
公的な政務を秀長が担うという分担やな。
もちろん一文だけで全部断定はできんが、
豊臣政権に複数の窓口があったことは見える",スレ②調整役の中身,35>>34
解説者,"「内々は宗易、
公儀は宰相」とは、
豊臣秀吉が大友宗麟に対して語ったとされる言葉である。",解説：内々は宗易、公儀は宰相,1
解説者,"宗易とは千利休、
宰相とは豊臣秀長を指す。",解説：内々は宗易、公儀は宰相,2
解説者,"内々、
つまり私的なことや茶の湯を通じた関係は利休へ。
公儀、
つまり公的な政務や大名との取り次ぎは秀長へ。
そういう役割分担があったことを示す言葉としてよく知られている。",解説：内々は宗易、公儀は宰相,3
解説者,"この一節からも、
秀長が単なる親族ではなく、
豊臣政権の正式な窓口として機能していたことがうかがえる。",解説：内々は宗易、公儀は宰相,4
男性A下,秀吉一人のカリスマだけで回ってたわけじゃないんやな,スレ②調整役の中身,36>>35
女性B,"むしろ急拡大した政権ほど窓口が要る。
旧織田家臣、
毛利、
長宗我部、
島津、
大友、
徳川、
寺社、
朝廷。
全員が秀吉に直接ぶつかったら摩擦で終わる",スレ②調整役の中身,37
男性C下,"秀長、
胃が痛そう",スレ②調整役の中身,38>>37
女性D下,戦国時代のクッション材,スレ②調整役の中身,39>>38
男性E下,クッション材が110万石持ってるの草,スレ②調整役の中身,40>>39
男性A大,"110万石という数字も、
ただのご褒美ではなく役割の大きさを示してる。
大和郡山から畿内の周辺を押さえ、
紀伊・和泉も含めて西国や四国九州との接続を見る。
秀吉の本拠に近い場所で重しになる",スレ②調整役の中身,41
女性B,地図で見るとかなり要所なんやろな,スレ②調整役の中身,42
男性C,"大和は古い権威、
紀伊は寺社や雑賀の記憶、
和泉は商業と海。
そこを一まとめに任されるの、
普通に難易度高い",スレ②調整役の中身,43
女性D下,説明されるほど地味じゃなくなる,スレ②調整役の中身,44>>43
男性E下,むしろ地味に見えるのがおかしいレベル,スレ②調整役の中身,45>>44
男性A,"ただし秀長の弱点は、
本人の言葉や派手な逸話が少ないことや。
結果として「政権が安定していた」という形でしか見えにくい。
失敗していたら記録に残るけど、
成功した調整は目立たない",スレ②調整役の中身,46
女性B下,何も起きないようにする人が一番評価されにくい,スレ②調整役の中身,47>>46
男性C下,ほんま会社やんけ,スレ②調整役の中身,48>>47
女性D下,秀長が1591年に亡くなったあと豊臣が荒れるって言われるのはそこか,スレ②調整役の中身,49>>48
男性E大,"そういう見方はある。
秀長が亡くなったあとに利休の件、
秀次の件、
朝鮮出兵へ向かう流れが続く。
ただ、
全部を秀長不在だけで説明するのは雑や。
秀吉の老い、
後継問題、
国際情勢、
大名統制の限界も絡む",スレ②調整役の中身,50
男性A,でもブレーキ役が消えた感はあるんやな,スレ②調整役の中身,51
女性B大,"そこはある。
秀長は秀吉に近い身内で、
しかも大名たちに顔が利く。
周囲から見ても「秀長を通せば話になる」という安心感があったはず。
窓口が消えると、
トップの意向が直接降ってくる怖さが増す",スレ②調整役の中身,52
男性C,急に組織論になってきた,スレ②調整役の中身,53
女性D下,歴史はだいたい組織論やぞ,スレ②調整役の中身,54>>53
男性E下,じゃあ秀長が長生きしてたら豊臣は残ったんか,スレ②調整役の中身,55>>54
男性A下,"それは分からん。
家康の力、
秀頼の幼さ、
朝鮮出兵、
秀吉晩年の判断、
全部大きい。
ただ、
秀長がもう少し長く政権に残っていれば、
利休や大名との摩擦、
秀次周辺の処理は違った可能性がある",スレ②調整役の中身,56>>55
女性B下,歴史の「もし」は便利やけど決め手はない,スレ②調整役の中身,57>>56
男性C下,"せやな。
「秀長がいれば豊臣は絶対安泰」は言いすぎ。
ただ「秀長の不在で調整力が落ちた」はかなり納得しやすい",スレ②調整役の中身,58>>57
女性D下,"なんというか、
完璧なNo.2やな",スレ②調整役の中身,59>>58
男性E下,しかもNo.2が野心むき出しじゃないのが強い,スレ②調整役の中身,60>>59
男性A,"そこも大事。
秀長は兄の権威を奪うより、
兄の権威を現場で使いやすくする側に回った。
戦国の親族ってだいたい揉めるのに、
秀長は政権を割る側に行かなかった",スレ②調整役の中身,61
女性B下,信長の弟とか考えると確かに貴重,スレ②調整役の中身,62>>61
男性C下,親族が敵にならないだけでありがたい時代,スレ②調整役の中身,63>>62
女性D,"だから秀長の価値は「何を派手にやったか」だけでなく、
「何を起こさずに済ませたか」にある。
四国九州の戦後処理、
大和の統治、
大名との窓口。
目立たない部分が全部政権の土台や",スレ②調整役の中身,64
男性E下,これは天下一の調整役って呼ばれるわ,スレ②調整役の中身,65>>64
男性A下,"泣ける件wwwってタイトル、
意外と合ってる",スレ②調整役の中身,66>>65
女性B下,"仕事できる人ほど評価されにくいの、
時代超えてつらい",スレ②調整役の中身,67>>66
男性C下,秀長の動画見たあと会社の調整役に優しくなれそう,スレ②調整役の中身,68>>67
女性D大,"まとめると、
秀長は秀吉の弟で終わる人物ではない。
四国と九州の大軍を預かり、
大和郡山で110万石を統治し、
公的な窓口として大名を受け止めた。
派手な天下取りではなく、
天下を回す実務を担った人や",スレ②調整役の中身,69
男性E,"地味やなくて、
地味な仕事を全部引き受けた人か",スレ②調整役の中身,70
男性A下,こういう人がいなくなったあとに組織が傾くのリアルすぎる,スレ②調整役の中身,71>>70
女性B,"だから秀長を知ると、
豊臣政権の見え方が変わる。
秀吉の才能だけではなく、
それを支えた実務と調整の網があった。
その網の中心にいたのが秀長や",スレ②調整役の中身,72
男性C下,ワイも明日から人の調整仕事を軽く見ないようにするわ,スレ②調整役の中身,73>>72
女性D下,なお自分が調整役になるのは嫌な模様,スレ②調整役の中身,74>>73
男性E下,そこは戦国でも現代でも同じやな,スレ②調整役の中身,75>>74
解説者,本日はここまで。,締め,1
解説者,"今回は、
豊臣秀長についての議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,"秀長は、
派手な一撃で天下を動かした人物というより、
秀吉の急拡大した政権を、
軍事・統治・大名調整の現場で支えた人物だった。",締め,3
解説者,"四国攻めや九州平定の総大将、
大和郡山を中心とする約110万石の統治、
そして「公儀は秀長」と言われるほどの政務の窓口。",締め,4
解説者,"そうした地味な実務が積み重なって、
豊臣政権の前半は動いていたように思える。",締め,5
解説者,"だからこそ、
秀長の存在を知ると、
豊臣秀吉ひとりの才能だけではなく、
その周囲で政権を回していた人たちの重要さも見えてくる。",締め,6
解説者,"今回の動画について他の意見や感想があったら、
ぜひコメントで教えてね。",締め,7
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,8
