登場人物,セリフ,備考,番号
男性C下,仮名手本忠臣蔵っていう人形浄瑠璃や。初演は1748年、事件から半世紀近く後の創作や。しかも幕府を憚って舞台を室町に移して、吉良を高師直、浅野を塩冶判官って別名に変えた。今みんなが思い浮かべる忠臣蔵は、事件そのものより、この芝居のほう,スレ①（前半）,18
男性D,名前まで変えてるんかｗ,スレ①（前半）,19
男性E,ほな悪役の吉良像も脚色入っとるわけか,スレ①（前半）,20
男性A下,前提から怪しいやんけ、美談の土台がフィクション,スレ①（前半）,21
女性B,水戸黄門と同じやな、史実とキャラ別物,スレ①（前半）,22
男性C,でも浅野だけ切腹はかわいそうやろ,スレ①（前半）,23
男性D下,ここが本筋でな。本来こういう刃傷は喧嘩両成敗で双方処分が筋やのに、浅野は即日切腹、吉良はお咎めなし。この片手落ちが、後で浪士が動く一番の火種になった,スレ①（前半）,24
男性E,即日はさすがに急ぎすぎ,スレ①（前半）,25
男性A,てか吉良って斬られて無事やったんか,スレ①（前半）,26
女性B下,額と背中に手傷を負ったけど命に別状はなかった。浅野は周りに抱き止められて、その場で取り押さえられた。本懐を遂げる前に止められた格好やな,スレ①（前半）,27
男性C,仕留め損ねとるやんけ,スレ①（前半）,28
男性D,浅野はどこで切腹したんや,スレ①（前半）,29
男性E下,田村右京大夫っていう大名の屋敷に預けられて、その日のうちに切腹になった。しかも庭先での切腹を命じられて、これは大名としてはかなりの屈辱な扱いやった。即日かつ庭先、ここにも綱吉の怒りが出てる,スレ①（前半）,30
男性A,庭でやらされるんか、扱い雑やな,スレ①（前半）,31
女性B,藩の取り潰しも事件のこの日なん？,スレ①（前半）,32
男性C下,そこは分けて覚えるとええ。即日やったのは浅野の切腹だけ。赤穂藩の取り潰しと城の明け渡しは追って沙汰された。よく一緒くたにされるけど時間差がある,スレ①（前半）,33
男性D,はえ〜勘違いしとったわ,スレ①（前半）,34
男性E,城は素直に渡したん？籠城せんかったんか,スレ①（前半）,35
男性A下,赤穂では籠城して討ち死にするか、おとなしく城を明け渡すかで家中が割れた。家老の大石は明け渡して恭順を選んだ。ここで暴れたら本当にただの反乱で終わる。一旦引いた判断は冷静やった,スレ①（前半）,36
女性B,結局おとなしく従っとるな,スレ①（前半）,37
男性C,そこから討ち入りまで一年以上あくんよな,スレ①（前半）,38
男性D下,すぐ動いたわけやない。最初は神文に血判してまで集まった同志が大勢おった。けど浅野の弟の浅野大学による御家再興にみんな望みを賭けた。その線が細くなって、再興の見込みが消えたあたりから討ち入りへ傾いた,スレ①（前半）,39
男性E,順番そうやったんか、知らんかった,スレ①（前半）,40
男性A,再興がダメなら一矢報いる、と,スレ①（前半）,41
女性B,美談ぽく言うけど実質手段尽きての強行や,スレ①（前半）,42
男性C,冷めた見方も分かる,スレ①（前半）,43
男性D,でも血判まで押した同志は減らんかったん,スレ①（前半）,44
男性E下,ごっそり減った。最初は百人を超えてたのが、最後の討ち入りには四十七人まで絞られた。家族や暮らしを抱えて抜けた人間がほとんどで、責められる話でもない。残った側が特別なだけ,スレ①（前半）,45
男性A,人数どんどん減るやつしんみりするからやめろ,スレ①（前半）,46
女性B,両成敗って当時は当たり前の決まりちゃうんか,スレ①（前半）,47
男性C下,元禄の頃にはもう昔ほど厳格には運用されてへんかった、って聞いた。建前は残っとっても、実際の裁きは時の事情次第。片方だけ処分も理屈の上では通る。ただ世間の納得は別問題,スレ①（前半）,48
男性D,はい解散できひんやつや,スレ①（前半）,49
男性E,浅野の辞世とかあるん,スレ①（前半）,50
男性A下,風さそふ花よりもなほ我はまた春の名残をいかにとやせん、っていう辞世が伝わってる。散る花に己を重ねた一首やな。本物かは断言できんけど、無念さは滲む,スレ①（前半）,51
女性B,切ないわ,スレ①（前半）,52
男性C,一首詠む余裕あるなら斬った理由も書き残せや,スレ①（前半）,53
男性D,それはほんまそう,スレ①（前半）,54
男性E,言われてみればそうやんｗ,スレ①（前半）,55
男性A下,そこは浅野の落ち度でもある。家臣三百人とその家族を背負う立場で、衝動で抜いて何も説明せんと逝った。残された側は、藩は消えるわ理由は分からんわで、たまったもんやない,スレ①（前半）,56
女性B,残当,スレ①（前半）,57
男性C,綱吉はなんで両成敗にせんかったんや,スレ①（前半）,58
男性D下,勅使接待の真っ最中に城中で抜いたのが、五代将軍綱吉の逆鱗に触れたと言われる。母親がらみの大事な式の日でな。メンツを潰された綱吉が浅野に厳罰、吉良は被害者扱い、って裁定に傾いたらしい,スレ①（前半）,59
男性E,メンツで処分の重さ変わるんか,スレ①（前半）,60
男性A,将軍も人の子やな,スレ①（前半）,61
女性B,権力者の機嫌一つで重さが決まる、これが一番の闇やろ,スレ①（前半）,62
男性C,現代でも刺さる,スレ①（前半）,63
男性D,ところで吉良ってそんな悪人やったん？,スレ①（前半）,64
男性E下,これがイメージと全然違ってな。吉良は高家筆頭で朝廷との儀礼を仕切る専門職、礼儀作法のプロや。地元の三河では治水の堤を築いた名君として今も慕われてて、黄金堤ってのが残ってる,スレ①（前半）,65
男性A,黄金堤ぐぐったらほんまにあった,スレ①（前半）,66
女性B,地元やと名君て評価ちゃいすぎやろ,スレ①（前半）,67
男性C,まあ地元は身内びいき入る、盛りすぎ,スレ①（前半）,68
男性D,江戸の庶民は取り潰された側に肩入れする。負けた方を贔屓する土壌があって、吉良は悪役にされやすかった。実像と芝居像のズレが、今もそのまま残ってる感じ,スレ①（前半）,69
男性E,信者もアンチも芝居に踊らされてるだけやな,スレ①（前半）,70
男性A,大石は結局いつ討ち入りを決めたんや,スレ①（前半）,71
女性B下,再興の望みが完全に消えたあと、大石は京の円山に同志を集めて会議を開き、ついに討ち入りを最終決断した。一年以上の潜伏は、無計画に温めてたんやなくて、御家再興という最後の望みが尽きるのを見極めてた期間でもある,スレ①（前半）,72
男性C,待ちの一年にちゃんと意味あったんやな,スレ①（前半）,73
男性D,浅野の奥さんはどうしてたんや,スレ①（前半）,74
男性E下,正室の阿久里は事件のあと髪を下ろして瑶泉院と名乗った。夫を失い実家へ引いた身で、討ち入りの動きを陰から見守った立場やと伝わる。表に出んだけで、こういう家族の存在も話の重みになる,スレ①（前半）,75
男性A,そう聞くと一気にしんみりするわ,スレ①（前半）,76
女性B,急に解像度上がってきた,スレ①（前半）,77
男性C,で後半はいよいよ討ち入りやな,スレ①（前半）,78
男性D,大石が山科で遊び呆けるとこ好き,スレ①（前半）,79
男性E,続き気になるからはよ頼む,スレ①（前半）,80
男性A,ワイ赤穂の塩で握った塩むすび食いながら待つわ,スレ①（前半）,81
女性B,急に飯テロやめろ,スレ①（前半）,82
解説者,"松の廊下とは、江戸城本丸御殿にあった
大廊下のひとつである。",解説：松の廊下,1
解説者,"襖に松と千鳥が描かれていたことからこう呼ばれ、
格式の高い場所として知られていた。",解説：松の廊下,2
解説者,"元禄14年、この場所で赤穂藩主・浅野内匠頭が
高家・吉良上野介に斬りかかる刃傷事件が起き、",解説：松の廊下,3
解説者,"赤穂事件の発端として
歴史に名を残すこととなった。",解説：松の廊下,4
解説者,"喧嘩両成敗とは、争いを起こした双方を、
理非を問わず共に処罰する戦国以来の慣習である。",解説：喧嘩両成敗,1
解説者,私闘を抑え、秩序を保つための考え方として広まった。,解説：喧嘩両成敗,2
解説者,"だが赤穂事件では、斬りかかった浅野が即日切腹となる一方、
吉良には何の咎めもなかった。",解説：喧嘩両成敗,3
解説者,"この片手落ちの裁きが、後に赤穂浪士が討ち入りへと動く
大きな火種になったとされている。",解説：喧嘩両成敗,4
解説者,"仮名手本忠臣蔵とは、1748年に初演された
人形浄瑠璃・歌舞伎の演目である。",解説：仮名手本忠臣蔵,1
解説者,"赤穂事件を題材としながらも、幕府への配慮から
舞台を室町時代に移し、",解説：仮名手本忠臣蔵,2
解説者,"吉良上野介を高師直、浅野内匠頭を塩冶判官、
大石内蔵助を大星由良助と改名して描いた。",解説：仮名手本忠臣蔵,3
解説者,"大ヒットを記録し、現在私たちが思い描く忠臣蔵像の多くは、
史実ではなくこの作品によって形作られたものである。",解説：仮名手本忠臣蔵,4
解説者,"ここまでは、
松の廊下の刃傷から浅野の切腹、
片手落ちの裁きについての議論を見てきたが、",前置き,1
解説者,"「いじめが創作なら、なぜ四十七士は命懸けで討ち入ったの？」
「一年以上も待った理由は？」など、
浪士たちの動機に疑問を持つ者も現れた。",前置き,2
解説者,"たしかに、彼らを討ち入りへと突き動かしたものは
一体何だったのだろうか？",前置き,3
解説者,"引き続き、2ちゃんねるの歴史オタクたちの
議論を見ていこう。",前置き,4
男性A大,赤穂浪士四十七士のうち一人だけ切腹してない事実ｗｗｗ,スレ②（後半）,1
女性B,急にトリビア来たな,スレ②（後半）,2
男性C,前半の続きか,スレ②（後半）,3
男性D,で、討ち入りの話やろ早よ,スレ②（後半）,4
男性E,まず吉良邸どこやったん,スレ②（後半）,5
男性A,江戸城の近くちゃうの,スレ②（後半）,6
女性B下,事件のあと吉良の屋敷は江戸城の近くから本所に移された。郊外に追いやられた格好で、警備の手薄な土地に動かされてる。これが結果的に討ち入りしやすい状況を作ったとも言われる,スレ②（後半）,7
男性C,引っ越しさせられてて草,スレ②（後半）,8
男性D,幕府が暗に始末しろって言うてるようなもんやん,スレ②（後半）,9
男性E下,断定まではできん。ただ本所移転で吉良が守りにくい場所に出たのは事実。浪士からしたら好都合な配置になった。意図かどうかは分からんが、結果は浪士に味方した,スレ②（後半）,10
男性A,大石はその間なにしとったん,スレ②（後半）,11
女性B,京で遊び呆けてたやつやろ,スレ②（後半）,12
男性C下,山科に引っ込んで遊興にふけって見せた、いわゆる昼行灯やな。ただこれは敵を欺くための芝居やったと伝わる話で、後世の脚色も混じってる。どこまで意図的やったかは盛られてる可能性が高い,スレ②（後半）,13
男性D,また創作混じりかい,スレ②（後半）,14
男性E,昼行灯はキャラ立ちすぎてて逆に怪しい,スレ②（後半）,15
男性A,で肝心の討ち入りはいつや,スレ②（後半）,16
女性B,確か12月14日の雪の夜やったよな,スレ②（後半）,17
男性C下,元禄15年の12月14日深夜から15日の未明や。本所松坂町の吉良邸に、表門と裏門の二手に分かれて踏み込んだ。事前に役割を細かく決めて、火事と間違われんよう近所にも筋を通してから動いた周到さやった,スレ②（後半）,18
男性D,近所に挨拶してから討ち入るんかｗ,スレ②（後半）,19
男性E,律儀すぎる,スレ②（後半）,20
男性A,雪は降っとったん？,スレ②（後半）,21
女性B下,雪が積もってたかは諸説あって確証はない。白装束に雪っていう絵面は芝居や錦絵で固まったイメージが強い。実際の天気まで断定するのは危ういとこ,スレ②（後半）,22
男性C,また芝居か、どこまでが本当やねん,スレ②（後半）,23
男性D,美談の細部ほど創作という,スレ②（後半）,24
男性E下,骨組みは事実やで。討ち入りそのもの、首を取ったこと、泉岳寺へ向かったことは記録に残る。脚色されてるのは動機や雪や昼行灯みたいな演出の部分。事件の幹と芝居の枝を分けたらええ,スレ②（後半）,25
男性A,幹と枝、わかりやすい,スレ②（後半）,26
女性B,で吉良はすぐ見つかったん,スレ②（後半）,27
男性C下,屋敷を探し回ってもなかなか見つからんで、一度は討ち漏らしたかと焦ったらしい。最後に台所裏の炭小屋に隠れてたところを見つけ出して討ち取った。寝込みを襲った形やから、ここは美談一辺倒では語れん,スレ②（後半）,28
男性D,炭小屋に隠れる吉良、人間味あって逆に好き,スレ②（後半）,29
男性E,寝込み襲って炭小屋から引きずり出すのが忠義か？,スレ②（後半）,30
男性A,正直引くわ、寝込みやぞ,スレ②（後半）,31
女性B,立場変えたらホラーやもんな,スレ②（後半）,32
男性C下,当時もそこは議論になった点でな。仇討ちの忠義と、寝込みを襲う非情さは表裏。きれいな話だけやないからこそ、三百年語り継がれてるとも言える,スレ②（後半）,33
男性D,首取ったあとどうしたん,スレ②（後半）,34
男性E下,吉良の首を持って、主君浅野の墓がある泉岳寺まで隊列を組んで歩いた。墓前に首を供えて仇討ちの成就を報告した。この行進を江戸の人々が沿道で見守ったとも伝わる,スレ②（後半）,35
男性A,首持って行進はインパクトすごいな,スレ②（後半）,36
女性B,江戸っ子は拍手喝采やったんやろか,スレ②（後半）,37
男性C,確かに庶民は喜びそう,スレ②（後半）,38
男性D,いや義士義士いうけど、やってることは私刑やろ。法治の世で徒党組んで人の首取って英雄扱いはどうなん,スレ②（後半）,39
男性E下,庶民の同情は浪士側に大きく傾いた。取り潰された側への判官びいきもあって、義士として持ち上げる空気が一気に広がった。これが後の処分を悩ませる世論にもなった,スレ②（後半）,40
男性A,で結局全員切腹なんやろ、損な役回り,スレ②（後半）,41
女性B,四十七士全員果てたんよな,スレ②（後半）,42
男性C,義士の信者多すぎて引くわ,スレ②（後半）,43
男性D下,そこ一個ちゃうで。切腹したのは四十六士。寺坂吉右衛門って一人だけ討ち入り後に隊列を離れて、幕府の処分を受けず生き延びた,スレ②（後半）,44
男性E,あ、そうなんか,スレ②（後半）,45
男性A,一人だけ生存ルートおったんか,スレ②（後半）,46
女性B,逃げたん？それとも役目？,スレ②（後半）,47
男性C下,これも諸説あってな。大石に命じられて事件を関係者に報告する役目を負って離れたとも、足軽身分やから人数に数えられず外されたとも言われる。逃亡説もあったが、どれも確定はしてない,スレ②（後半）,48
男性D,うろ覚えやけど墓は泉岳寺に全員分あった気がする,スレ②（後半）,49
男性E,寺坂の墓もあとから作られたんやっけ,スレ②（後半）,50
男性A下,泉岳寺に四十七士の墓がそろって並んでる。寺坂のぶんも後に建てられて、結局四十七で一括りにされた。生き延びた一人も含めて義士として祀られる流れになった,スレ②（後半）,51
女性B,きれいに四十七で締めたい気持ちはわかる,スレ②（後半）,52
男性C,数合わせ感あるけどな,スレ②（後半）,53
男性D,討ち入りの顔ぶれは年齢もバラバラでな。最年少は大石の息子の主税で十六、最年長は堀部弥兵衛で七十を超えてた。親子で名を連ねた者もおって、ただの集団やのうて家ぐるみの覚悟やった,スレ②（後半）,54
男性E,親子で討ち入りて重いな,スレ②（後半）,55
男性A,処分は誰が決めたんや,スレ②（後半）,56
女性B下,幕府の中で割れに割れた。忠義として赦すべきか、徒党を組んだ罪人として裁くべきか。最終的に荻生徂徠あたりの意見で落ち着いた、というのが通説や,スレ②（後半）,57
男性C,徂徠ってなにを言うたん,スレ②（後半）,58
男性D下,義は義として認める、ただ法を破った以上は罰する、しかし武士の体面を立てて打ち首やのうて切腹にする、という筋立てや。助命を推す声と対立したけど、この折衷案でまとまった,スレ②（後半）,59
男性E,義は認めるけど罰はする、絶妙なバランスやな,スレ②（後半）,60
男性A,体面のための切腹とか世知辛い,スレ②（後半）,61
女性B,結局体裁を取り繕っただけやろ,スレ②（後半）,62
男性C下,体裁といえばそうやけど、世論を敵に回さず、かつ法の建前も守る妥協点や。どっちに振っても角が立つ案件を、綱吉政権なりに着地させた裁きやった。翌年の春に四大名家へ預けられて切腹になった,スレ②（後半）,63
男性D,大名屋敷であずかって切腹なんか,スレ②（後半）,64
男性E,罪人やのに丁重な扱いやな,スレ②（後半）,65
男性A,切腹は翌元禄16年の2月4日、四家に分かれて同じ日に行われた。大石も主税も同じ日に最期を迎えて、親子で果てた格好や,スレ②（後半）,66
女性B,主税まだ十六やったんか…,スレ②（後半）,67
男性C,義士として遇された証でもある。罪は罪、けど扱いは武士、っていう線引きやな,スレ②（後半）,68
男性D,吉良の家はそのあとどうなったん,スレ②（後半）,69
男性E下,吉良の跡取りも討ち入りで手傷を負って、のちに領地を取り上げられて家は断絶した。襲われた側の吉良家のほうが結果的に消えた格好や。勝った負けたで言うたら吉良側に救いがない,スレ②（後半）,70
男性A,襲われた上に家も消えるとか踏んだり蹴ったりやな,スレ②（後半）,71
女性B,吉良視点で見ると完全に悲劇よな,スレ②（後半）,72
男性C,立場でこんなに話変わるんやな,スレ②（後半）,73
男性D下,討ち取った吉良の首な、泉岳寺に供えたあと幕府の指図で吉良家に返されて葬られた。仇敵とはいえ首を戻すあたり、当時なりの筋の通し方やったんやろな,スレ②（後半）,74
男性E,で結局だれが得したんやこれ,スレ②（後半）,75
男性A,芝居の作者が一番得しとるまである,スレ②（後半）,76
女性B,それはあるｗ,スレ②（後半）,77
男性C,なんやかんや美談だけ残って吉良は悪役のまま、後味わるいやろこれ,スレ②（後半）,78
男性D,ワイ毎年12月になると泉岳寺行きたくなるんよな,スレ②（後半）,79
男性E,線香の煙すごいとこやろ、混むで,スレ②（後半）,80
男性A,帰りに高輪で蕎麦食って帰るまでがセット,スレ②（後半）,81
女性B,急に観光案内はじまって草,スレ②（後半）,82
解説者,"荻生徂徠とは、江戸時代中期を代表する
儒学者・思想家である。",解説：荻生徂徠の処分論,1
解説者,"赤穂浪士の処分を巡り幕府の評定が割れる中、
徂徠は「義は認めるが、法を犯した以上は罰すべき」と説いた。",解説：荻生徂徠の処分論,2
解説者,"ただし武士の名誉を重んじ、打ち首ではなく
切腹とすべきだと主張したとされる。",解説：荻生徂徠の処分論,3
解説者,"この意見が、義士でありながら切腹という
最終的な裁定に影響を与えたと伝えられている。",解説：荻生徂徠の処分論,4
解説者,"本日はここまで。
今回は、忠臣蔵の真実についての
さまざまな議論を見てきたが、いかがだっただろうか？",締め,1
解説者,"2ちゃんねるの歴史オタクたちの
議論を見ていると、",締め,2
解説者,"私たちが知る忠臣蔵の多くは後世の芝居によって形作られたもので、
浅野がなぜ刃傷に及んだのか、
その本当の動機は今も藪の中なのだと思えた。",締め,3
解説者,"今回の動画について他の意見や
感想があったらぜひコメントで教えてね！",締め,4
解説者,"他にも歴史にまつわる情報をまとめた
動画が満載なので、ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,5
