女性B,"大政奉還も龍馬の手柄みたいに語られるけど、
土佐藩を動かして建白書を出させたのは後藤象二郎や"
男性C,"龍馬がやったのは新政府の人事構想を書いたあたり。
藩そのものを動かしたのは重役クラスやな"
女性D,ぜんぶ「お膳立ては別の人」で草
男性E下,そのお膳立てを繋ぐのが一番むずいんやが
男性A,龍馬って薩摩出身やっけ
女性B下,土佐や土佐
男性C,で、だれが一番すごいんや
女性D下,西郷でええやろもう
男性E下,"さっきの司馬の続きやけど、
龍馬が世を去ったあとの明治政府の要職に名前そのものが出てこん"
男性A,"早うに退場したから元勲になれんかった。
生き残った伊藤博文や山県有朋と比べると実務の蓄積が短すぎる"
女性B,"ワイが一番不憫やと思うのは中岡慎太郎やわ。
薩長同盟も二人三脚で動いて陸援隊まで作った人や"
男性C,"最期も龍馬と同じ場所やったのに知名度は十分の一もない。
二人を分けたのは後世の小説と人気の差やな"
女性D,中岡くん…
男性E,判官びいき発動して草
男性A,"てかお前ら過小評価しすぎや。
当時の脱藩は重罪やぞ"
女性B,"藩の後ろ盾を捨てた一浪士が、
薩摩にも長州にも幕臣の勝にも食い込んで顔を繋いだ。
この行動力が本体やろ"
男性C下,行動力だけは認めたるわ
女性D下,素直に認めるんかい
男性E,龍馬って北辰一刀流の免許皆伝やし剣も強かったんやろ？
男性A下,"諸説あって、
残ってる免許の中身は剣やのうて長刀の目録て話もある。
知らんけど"
女性B,龍馬って寺田屋で最期迎えたんやっけ
男性C下,"それ近江屋や。
寺田屋は襲われたけど逃げ延びた方やぞ"
女性D下,あ、そうやったわ
男性E,"龍馬がなんで襲われたかも未だ諸説あって、
見廻組説、新選組説、
薩摩黒幕説まで決着しとらん。
そのミステリー込みで人気が膨らんだ面もあるな"
男性A,もし龍馬が長生きしてたら明治政府でなにしとったんやろな
女性B下,"本人が「世界の海援隊でもやりますわ」と言うた逸話があって、
役人にならず商売に行ったやろて説が多い"
男性C,"逆に権力争いに埋もれた説もある。
若いまま退場して英雄像が固定されたのが一番おいしい幕引きやったかもな"
女性D,なんかずるいわそれ
男性E,"龍馬って土佐の郷士やけど、
才谷屋いう商家の血筋で金はあったらしいな"
男性A,その商人気質が海運や貿易の発想に効いたんちゃうかて言われてる
女性B,"龍馬って現存する手紙が百通以上あって、
当時の武士にしては異常な筆まめなんや。
脱藩した身で全国動き回りながら近況や構想をマメに書き送って、
自分で物語を発信しまくった男や"
男性C下,"龍馬の最大の才能は文章やと思うで。
姉の乙女に宛てた手紙が名文で、
読むと躍動感がえぐい"
女性D,"「日本を今一度せんたくいたし申候」とか、
当時あんな文体で書く奴おらん。
政治家いうより名コピーライターや"
男性E下,文章だけは天才で草
男性A,亀山社中も日本初の商社とか株式会社の原型とか言われとるしな
女性B下,"それも諸説あって組織の実態はようわからん部分が多い。
ただ志士が金と物流を握る発想は早かった"
男性C,ところで龍馬の写真っていつ見てもブーツ履いてるよな
女性D下,日本人で初めてブーツ履いた男説あるしな（諸説）
男性E,新婚旅行も日本初って言われとるしファッションリーダーやんけ
男性A下,そういう「初めて」キャラ付けで膨らんだ英雄なんやろ
女性B下,"写真の構図も自分で決めてたらしいし、
自己プロデュースは天才やったんやな"
男性C下,ほな有能なんか過大評価なんか結局どっちやねん
解説者,"ここまでは、
坂本龍馬は過大評価なのかについてのさまざまな議論を見てきたが、"
解説者,"「そういえば龍馬って結局誰に斬られたの？」
「黒幕がいるって聞いたことある」など、
龍馬の最期に疑問を持つ者も現れた。"
解説者,"実行犯は見廻組でほぼ決着しているのに、
命じた黒幕だけがなぜ今も謎なのだろうか。"
解説者,"引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。"
男性A,"【幕末最大の謎】坂本龍馬を斬らせた黒幕、
結局だれなんや"
女性B,"実行犯はほぼ見廻組で決着しとるのに、
誰が命じたかだけ未だに揉めてるのなんでなん"
男性C下,出た幕末ミステリー
女性D下,新選組やろ普通に
男性E下,それもう古いで
男性A,また新選組犯人説か
女性B,"龍馬って寺田屋で襲われた人？
近江屋やっけ"
男性C下,"最期は近江屋。
寺田屋は前に襲われて逃げた方"
女性D,"事件は慶応3年の11月15日、
京都の近江屋いう醤油屋の2階。
龍馬は風邪をひいて潜伏してた"
男性E,"そこを十津川郷士を名乗る連中が訪ねてきて、
龍馬と中岡慎太郎が斬りかかられた。
従僕の山田藤吉も巻き込まれた"
男性A,"龍馬は剣の達人やのに反撃できんかった。
刀を取りに立った隙に額を深く斬られて、
一気にやられたらしい。
完全な不意打ちで間合いを潰されたら、
達人でも手も足も出んわな"
女性B,醤油屋の2階で歴史が動いたんかｗ
男性C,"龍馬の刀って北辰一刀流の陸奥守吉行やっけ。
うろ覚えやけど"
女性D,"龍馬を斬った傷の深さや手口から、
相当な手練れの仕業やと分かってる。
素人の闇討ちやなく訓練された剣客集団＝見廻組説の傍証や"
男性E,"実行犯は今ほぼ京都見廻組で確定。
疑問を出す歴史学者がほぼおらんレベルの定説になってる"
男性A下,"ファッ、
新選組ちゃうんか"
女性B下,"見廻組の今井信郎が明治2年の取り調べで自供してる。
与頭の佐々木只三郎の指図で、
7人で踏み込んで自分は見張りやったらしい"
男性C下,"見廻組ってのは幕府が京都の治安維持に置いた組織で、
旗本や御家人の子弟で固めた正規部隊や。
浪士上がりの新選組とは出自からして違う。
大物を片付ける任務が回るのも筋は通る"
女性D,自供出てるなら終わりやんｗ
男性E,"ちな今井信郎は明治を生き延びて、
晩年は静岡で村会議員までやってる。
龍馬の件に関わったと語ったのも本人やから、
かえって証言の信ぴょう性が高い扱いなんよな"
男性A,生き延びて議員はたくましいわ
解説者,"京都見廻組とは、
幕末に江戸幕府が京都の治安維持のために設置した警備組織である。"
解説者,"旗本や御家人の子弟で構成された正規の部隊で、
浪士の集まりだった新選組とは出自を異にしていた。"
解説者,"京都守護職の指揮下に置かれ、
坂本龍馬と中岡慎太郎を襲撃した実行犯とされている。"
女性B下,"いや実行犯と黒幕は別の話やろ。
誰が見廻組を動かしたかが本丸や"
男性C下,"それやねん。
見廻組は会津藩の支配下やから、
命令系統をたどると会津に行き着く"
女性D下,"黒幕で一番堅いのは会津藩説。
佐々木只三郎の実兄の手代木直右衛門が晩年に「只三郎は某諸侯の命で龍馬を襲った」と語ってる"
男性E,"その某諸侯が京都守護職の松平容保か、
所司代の松平定敬やと言われる。
容保と定敬は兄弟で、
会津桑名ラインやな"
男性A下,身内の証言は重いわ
女性B下,"で？
その会津説も確証はないんやろ"
男性C下,"背景も大事や。
事件は大政奉還のわずかひと月後で、
幕府も倒幕派も次の主導権を取り合うピリピリした時期。
龍馬みたいに顔の広い調整役が動き回るのを煙たがる勢力はいくらでもおった"
解説者,"京都守護職とは、
幕末に江戸幕府が京都の治安を任せるために新設した重職である。"
解説者,"会津藩主・松平容保がこの職に就き、
配下の京都見廻組を通じて市中の取り締まりにあたっていた。"
解説者,"その指揮系統から、
龍馬暗殺を命じた黒幕は容保ら会津藩ではないかとする説が今も根強く語られている。"
女性D下,"でもそれやとロマンないわ。
やっぱ薩摩黒幕説のほうが面白いやろ"
男性E下,"これよ。
大政奉還で龍馬が平和路線に持っていったら、
武力倒幕したい薩摩が困る。
だから消したっていう筋や"
男性A下,"気持ちは分かるけど、
薩摩黒幕説は学界やとかなり懐疑的やで。
大政奉還派と武力倒幕派の対立を盛りすぎ、
てのが今の見方"
女性B,夢がないこと言うなや
男性C,"史料で詰めると薩摩説は動機が弱い。
当時の薩摩に龍馬を消す余裕も必要性もそこまで無い"
女性D下,"学者がなんと言おうと薩摩は怪しいわ。
はい論破"
男性E,ロマン派と現実派で草
男性A,"紀州藩説てのも聞いたことあるわ。
いろは丸の恨みやろ？"
女性B下,"それや。
いろは丸沈没で龍馬に賠償金ふんだくられた紀州が恨んでた説。
海援隊も当時は紀州を疑って、
後に天満屋事件いう報復まで起こした"
男性C,海援隊ガチギレで草
女性D,"紀州が刺客を雇った説もあるしな。
黒幕候補ほんま多いねん"
男性E,"あと土佐藩黒幕説な。
大政奉還を藩論にした後藤象二郎が、
用済みの龍馬を…てやつ"
男性A下,"身内が黒幕てインパクト狙いの説。
さすがに根拠は薄いけど話としては盛り上がるわ"
女性B下,後藤黒幕説は飛ばしすぎやろ
男性C,"ワイはグラバー黒幕説推すで。
武器商人のグラバーからしたら平和になったら武器が売れんくなるからな"
女性D下,"グラバー説は人気やけど史料の裏付けはほぼ無い。
完全に後世の創作寄りやで"
男性E,急に陰謀論の手練れ湧いてきて草ｗ
男性A,陰謀論に証拠を求めても無駄やけどな
女性B,でも武器商人黒幕とか映画みたいでテンション上がるやろ
男性C,結局だれが命令したか証拠は残ってへんのか
女性D下,"決定的な命令書みたいなんは出てきてへん。
実行犯は見廻組でほぼ確定、
でも黒幕は状況証拠の積み重ねやから諸説残る、
てのが正直なとこ。
だから今でも毎年だれが黒幕かで揉めとる"
男性E下,そもそも黒幕説がこんだけ増えたんも龍馬が人気やからやろ
男性A,"地味な志士やったら見廻組がやりました、
で終わってる。
英雄ほど裏に大物がおったはず、
て物語が欲しくなるんよな"
女性B下,"会津説が一番堅いけど確実かと言われると詰め切れん。
そこが幕末最大のミステリー扱いされる理由やな"
男性C,その詰め切れんとこがええんやないか
女性D,あと中岡慎太郎ってその場で亡くなったん？
男性E下,"中岡は2日ほど生きてて、
その間に事件の様子を証言してる。
この証言が解明の貴重な手がかりになったんや"
男性A下,"あの夜は二人で新政府の構想を詰めてた最中やったんやろ？
狙いすましすぎて怖いわ"
女性B,中岡の証言が無かったらもっと闇やったな
男性C大,"龍馬が世を去ったあと海援隊もすぐ解散してな、
残された隊士には新政府で出世した者もおる。
後に外務大臣まで上り詰めた陸奥宗光が代表格や。
看板役がおらんでも蒔いた種はちゃんと芽吹いた。
大したもんやで"
女性D,"龍馬なんで近江屋なんかにおったんや。
藩邸におればよかったやん"
男性E下,"龍馬は薩摩藩邸に匿われてたけど、
気を遣って出て近江屋に移ってた。
そこを狙われたんが運の尽きやな"
男性A下,"藩邸出た直後を狙うとか、
やっぱ情報抜かれとるやろこれ"
女性B下,"また陰謀論か。
はい解散"
男性C,刺客が訛りの強い言葉で叫んだ説を聞いたことあるけどあれは
女性D下,"それは諸説あって決め手にならん。
方言から出身を推理する話やけど、
確かな史料とは言い切れんのよな"
男性E,細けえ謎が積み重なるからロマンなんやろが
男性A,ワイはまだ新選組の線も捨てきれんけどな
女性B下,"現場に刀の鞘が残ってて一時は新選組が疑われたけど、
今は見廻組説に落ち着いた。
気持ちは分かるけどな"
男性C,新選組ニキしぶといわｗ
女性D,"ほな一番有力なのは実行＝見廻組、
黒幕＝会津でええんか"
男性E下,"教科書的にはその線や。
ただ黒幕は会津で確定とまでは言えん、
てとこは押さえといてほしい"
男性A下,ワイは薩摩黒幕説を墓まで持っていくで
女性B下,ワイはグラバー派や
男性C下,こいつら定説認める気ないやろ
女性D,ところで近江屋って今どうなっとるん
男性E下,跡地に石碑あるはずやで
男性A下,"修学旅行で前を通ったわ。
コンビニの横にひっそり建ってた"
女性B下,幕末最大のミステリーの現場がコンビニ横…
男性C下,で、結局黒幕は誰なんや
解説者,"本日はここまで。
今回は、坂本龍馬の評価と暗殺の黒幕についてのさまざまな議論を見てきたが、
いかがだっただろうか？"
解説者,2ちゃんねるの歴史オタクたちの議論を見ていると、
解説者,"龍馬は形のない功績ゆえに評価が割れ、
その劇的な最期と未だ解けない黒幕の謎が、
英雄像をいっそう大きくしてきたように思えた。"
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！"
