登場人物,セリフ,備考,番号
男性E,数十億の更地に塚一個とか狂っとる,スレ①,30
男性A,はいオカルト、全部こじつけ,スレ①,31
女性B下,で？二回も国家側が引き下がってる事実は消えへんで,スレ①,32
男性C大,周りのビルがまた徹底しててな。塚を見下ろさんように、塚に面した側はわざと窓を作らへんとか、社員が塚に尻を向けんように管理職の机の向きまで気いつかっとるって言われとる。信じる信じへん以前に、ガチガチの大企業がそこまで配慮してまう空気があるってのが、ある意味一番の答え合わせやねん,スレ①,33
女性D,こっわ,スレ①,34
男性E,そこまでいくともう信仰やろ,スレ①,35
男性A下,それ全部ほんまなん？,スレ①,36
女性B,ほんまかどうかは知らん、そう言われてるってだけや。ただ塚の管理のために近くの銀行に「平将門」名義の口座が開かれとったのは、割と有名な話やで,スレ①,37
男性C,口座名義・平将門ｗｗ,スレ①,38
女性D,通帳に平将門て書いてあるん想像したら草,スレ①,39
男性E,ワイのばあちゃん神田明神の氏子やで,スレ①,40
男性A大,しかも今の塚は地元の企業が金を出し合って守っとるんよ。「史蹟将門塚保存会」っちゅう近隣の会社が集まった団体が、浄財で周りの清掃や整備をずっと続けとる。要は天下の一等地のド真ん中で、周りの大企業が「将門さんの機嫌だけは損ねたらあかん」って共同で面倒を見続けとるわけや。これだけでも、土地そのものが特別扱いされとるのが分かるやろ,スレ①,41
女性B,企業が金出し合って塚守っとるの好き,スレ①,42
男性C,ワイ去年あの辺で働いとったとき、毎朝コンビニ寄る感覚で手だけ合わせて通勤しとったわ,スレ①,43
女性D下,それ完全にご近所の氏神様やん,スレ①,44
男性E,カエルの置物いっぱい置いてあるよな、無事カエルでって。最初なんの土産物屋かと思った,スレ①,45
男性A,で、結局三大怨霊って残り誰なん,スレ①,46
女性B下大,"これ豆な、将門は今や神田明神の祭神になっとって、崇徳上皇・菅原道真と並んで日本三大怨霊に数えられとる。面白いのが、徳川が江戸入りしたとき将門を江戸の総鎮守として篤く祀り直しとるんよ。怒らせたら祟るけど、ちゃんと祀れば街を守ってくれる、っていう""祟り神の出世コース""に乗っとるわけや",スレ①,47
男性C,祟り神が守り神に出世しとるの草,スレ①,48
女性D大,その道真なんか今や学問の神様で、受験シーズンに全国の受験生が手を合わせに行くレベルやからな。恐れられた怨霊ほど後世の祀られ方が手厚なる、っていうのが日本のおもろい癖やねん。最初は災いの元として恐れられた連中が、丁重に祀られて街や受験生を守る側に回る。将門もその王道を歩んどるわけや,スレ①,49
男性E,落とし所が神様って発想、日本ぐらいやろ,スレ①,50
男性A下,メガテン勢からすると将門公はガチで畏れる対象や。アトラスが将門モチーフにしたら開発中トラブル続きで、表記を「マサカドこう」に直したら止んだって都市伝説あるやろ,スレ①,51
女性B,ゲーム会社にまで祟るのやめたれや,スレ①,52
男性C,そこは祟りやのうて納期やろ,スレ①,53
女性D下,不覚にも笑った,スレ①,54
男性E,太田光が売れる前に首塚にドロップキックかまして、しばらく仕事来んくなったって噂もあるな,スレ①,55
男性A,それはさすがに芸人の自業自得では,スレ①,56
女性B大,ついでに言うと、将門を祀る神田明神の神田祭は、今も山王祭と並ぶ江戸三大祭のひとつでな。将門は江戸の総鎮守として庶民にめちゃくちゃ愛されてきたんよ。怨霊として恐れられた男が、江戸っ子の誇りの祭の主役になっとるんやから、畏れと信仰なんて紙一重やなって思うわ,スレ①,57
男性C大,ここ大事なんやけど、将門はただ恐れられただけちゃうくて、もともとは関東の民にとっては英雄寄りの存在やったんよ。重い負担やら国府の横暴に苦しむ坂東の人らからしたら、中央に盾突いて「東は俺らで治める」ってやってのけた将門は反骨のシンボルやった。だからこそ討たれたあとも、祟り神として畏れられつつ土地の守り神として手厚く祀られ続けた、っていう二面性があるわけや,スレ①,58
女性D下,ただの怨霊ちゃうくて元はヒーローなんやな,スレ①,59
男性E,怨霊を祀る祭で江戸三大祭って、考えたら相当パンチ効いとるな,スレ①,60
男性A,"結局さ、全部""そういうことにしとこ""の後付けやろ。因果の証拠なんか無いやん",スレ①,61
女性B,信者乙、ぜんぶ偶然や,スレ①,62
男性C下,まあ祟りに証拠もへったくれもないわな、そこは認める,スレ①,63
女性D,証拠ないのに国家プロジェクトが二回もどかすのやめてる時点で、もう実質勝ちなんよ将門,スレ①,64
男性E下,勝ち負けの話になってて草,スレ①,65
男性A,山手線が将門の祟りを抑える結界として作られたって都市伝説もあるよな,スレ①,66
女性B,それは嘘らしいで、結界説は後から誰かが言い出したやつや,スレ①,67
男性C,なんや嘘なんか,スレ①,68
女性D,嘘か本当か分からんのが一番こわいんよこの人。で、そもそも将門ってなんで反乱なんか起こしたん？怨霊の部分しか知らんわ,スレ①,69
男性E,新皇名乗って関東独立しようとしたやべえ奴やぞ,スレ①,70
解説者,"ここまでは、
平将門の首塚にまつわる祟りの噂について
さまざまな議論を見てきたが、",前置き,1
解説者,"「そもそも将門は何をして、
ここまで恐れられる存在になったの？」
と、肝心の生涯に疑問を持つ者も現れた。",前置き,2
解説者,"たしかに、千年も祟りが語り継がれる怨霊が、
どうやって生まれたのかは気になるところだ。",前置き,3
解説者,"引き続き、2ちゃんねるの歴史オタクたちの
議論を見ていこう。",前置き,4
男性A,平将門「これからは俺が東の天皇やるわ」朝廷「は？」,スレ②,1
女性B下,出た自称新皇ｗ,スレ②,2
男性C,名乗ったもん勝ちかよ,スレ②,3
女性D,関東の田舎で勝手に天皇名乗ったやべえ人やろ,スレ②,4
男性E,結局その新皇とやらも2か月で終わった負け犬やん、持ち上げる要素ある？,スレ②,5
男性A,怨霊の話は聞くけど何した人かは正直知らんわ,スレ②,6
女性B,で、結局こいつ何がしたかったん,スレ②,7
男性C,中央に喧嘩売って負けた人や、それ以上でもそれ以下でもなくない？,スレ②,8
女性D大,それがな、最初っから天皇に盾突こうとしてたわけちゃうんよ。スタートはただの一族内のもめ事や。関東の平氏一門で、伯父さんらと土地や縁談がらみの私闘をやっとった、いわば身内ゲンカからの叩き上げやねん。それが勝ち続けるうちに、どんどん引くに引けん大ごとになってってもうた,スレ②,9
男性E,ファッ最初は身内ゲンカなんか,スレ②,10
男性A,そっからどうやって天皇になんねん,スレ②,11
女性B下,ヤンキーの抗争がいつの間にか国盗りになる漫画みたいや,スレ②,12
男性C大,そもそも将門の出自も知っとくとええで。あいつ桓武天皇の血を引く桓武平氏で、高望王の孫にあたる名門の出やねん。若い頃は京都に上って摂関家に奉公しとった時期もあって、決して田舎のチンピラちゃう。中央の作法も権力の構造も知った上で関東に戻って、結局その中央に弓を引くことになったわけや,スレ②,13
女性D,元エリートが地元で反乱とか厨二すぎる,スレ②,14
男性E下,中身を知ってる奴が反旗ひるがえすのが一番こわいやつやん,スレ②,15
男性A大,ちな将門の地盤は下総の猿島あたりでな、当時の坂東は朝廷の目が届きにくい辺境で、しかも良馬の産地やった。だから機動力のある騎馬の武士団を抱えやすくて、中央から来た役人よりも地元で腕の立つ将門のほうが頼りにされとった。そういう土壌があったからこそ、一介の豪族が関東一円を呑み込むなんて芸当ができたわけや,スレ②,16
女性B下,馬かよ、そら強いわけや,スレ②,17
男性C大,で、私闘で官側の人間ともやり合ううちに、今度は朝廷の出先の国府とぶつかってまう。勢いで常陸の国府を攻め落として、国の実印にあたる印鑰まで奪ってもうた。これ当時やと完全に一線を越えた行為で、国に弓を引いた賊って扱いになる。もう後戻りでけへんとこまで行ったわけや,スレ②,18
女性D,印鑰ってなんや,スレ②,19
男性E下,国を動かす実印とハンコ箱みたいなもんや。それ奪うって今でいう役所まるごと乗っ取るレベルやぞ,スレ②,20
解説者,"印鑰とは、
古代から中世の役所で使われた、
国の実印と倉の鍵を指す言葉である。",解説：印鑰,1
解説者,"印は公文書に押す国家の正式な印鑑、
鑰は税として集めた米などを納めた
正倉の鍵を意味する。",解説：印鑰,2
解説者,"つまり印鑰を押さえることは、
その国の行政と財産をまとめて
手中に収めることに等しかった。",解説：印鑰,3
解説者,"将門が国府を襲ってこれを奪った行為は、
朝廷の支配そのものに正面から
弓を引いたことを意味するのである。",解説：印鑰,4
男性A大,そっから勢いに乗った将門は、坂東、今でいう関東一帯の国府を次々落として、ほぼ関東全域を手中に収めてまう。各国の国司を追い出して、自前の人事で「ここからは俺が仕切る国や」ってやり始めた。地方の豪族が中央任命の役人をまとめて吹っ飛ばすって、当時前代未聞やってん,スレ②,21
女性B下,関東まるごとはやりすぎやろ,スレ②,22
男性C,もう完全に独立国家やん,スレ②,23
女性D,で、調子乗って新皇宣言と,スレ②,24
男性E大,そう、ここで「新皇」、つまり新しい天皇を名乗る。伝説やと八幡神のお告げで位を授かったってことになっとるけど、要は京都の天皇とは別に、東国に自分を頂点とした朝廷を立てようとしたわけや。関東に独立政権を作るっていう、日本史でもなかなかおらんスケールの反逆やねん,スレ②,25
男性A,八幡のお告げは草、自分で言うてるだけやろ知らんけど,スレ②,26
女性B,神様持ち出すの強気すぎる,スレ②,27
男性C,正直そこは盛りやろ、神託とか後付けくさいわ,スレ②,28
女性D,で？神名乗ろうがすぐ討たれたんやから、結局ただの勘違いした田舎の暴れん坊やん,スレ②,29
男性E下,勘違いで関東一国まとめられたら誰も苦労せんわ、そこは認めたれや,スレ②,30
男性A,でもこんなん中央がブチギレて終わりやん,スレ②,31
女性B大,そうなる。京都は将門を朝敵認定して追討令を出す。で、ここで動いたのが同じ関東の平貞盛と、下野の豪族やった藤原秀郷や。身内や近隣やった連中が討伐側に回って、将門包囲網が出来てまうわけや,スレ②,32
男性C下,結局身内に討たれるんかい,スレ②,33
女性D,関東の独立より自分の家のほうが大事って奴がおったわけやな,スレ②,34
男性E,将門を討ったのって源氏の先祖やっけ？,スレ②,35
男性A下,ちゃう、討ったのは平貞盛と藤原秀郷や。源氏ちゃうから、そこ混同したらあかんで,スレ②,36
女性B,あっそうやったか、すまんね,スレ②,37
男性C大,で、天慶3年、西暦940年に討伐軍とぶつかって、将門は敗れる。伝承やと、戦いの最中に飛んできた流れ矢が額に当たって、それが致命傷になって命を落としたって言われとる。新皇を名乗ってからわずか2か月ほどでの最期や。あれだけ関東を席巻したのに、終わりはほんま一瞬やった,スレ②,38
女性D,2か月て短すぎやろ,スレ②,39
男性E,天下取り損ねたというか、名乗っただけで終わったやんｗ,スレ②,40
男性A大,その最期にも伝説があってな。将門は矢も通さんと評判の無敵の体で討伐軍が苦戦しとったけど、戦いの最中に陣の風向きが急に変わって、その隙に放たれた矢が額に当たったって話が残っとる。神がかった強さやのに、最後は風っていう運否天賦みたいなもんで決着した、っていうのがまた伝説を盛り上げとるんや,スレ②,41
女性B下,急に弱点が出てくるの少年漫画やん,スレ②,42
男性C,風で負けるラスボスすこｗ,スレ②,43
女性D大,"もういっこ有名なんが影武者伝説や。将門にはそっくりの影武者が何人もおって、本物を見分けられんかったけど、こめかみのあたりに本物だけ影が無かった、みたいな尾ひれが後世に付いとる。要は強すぎて普通には討てんかったっていう""負けたのが信じられん""空気が、こういう伝説を生んだわけやな",スレ②,44
男性E,影武者まで盛られるの大物の証や,スレ②,45
男性A,そういや将門を祀っとる国王神社が茨城にあって、将門の三女が建てたって伝わっとるな。ワイ一回行ったけど、めっちゃ静かでええとこやった,スレ②,46
女性B,大河で将門やらんのかな、昔の風と雲と虹と以来やろ,スレ②,47
男性C,主役が朝敵やと今のNHKはやりにくいやろなあ,スレ②,48
女性D,で、その首が飛ぶ伝説に繋がるわけやな,スレ②,49
男性E,そう、討たれた首は京都に送られて晒される。で、その首が夜に飛んで関東に戻った、っていうのが前半の祟りの話に繋がるんや,スレ②,50
男性A下,きれいに一周してて草,スレ②,51
女性B大,ちな朝廷も手をこまねいてたわけちゃうくて、将門調伏のために高僧に護摩祈祷を焚かせとってな。千葉の成田山新勝寺は、その将門調伏の祈祷をやった地に開かれたって伝わっとる。で、将門が討たれたもんやから「祈祷が効いた」ことになって、これが将門＝祟る怨霊ってイメージを後押しした面もあるんや。今でも神田明神の氏子は成田山には参らんって言われとるくらいでな,スレ②,52
男性C,でもさ、結局こいつただの調子乗った反乱者やん。評価する要素ある？,スレ②,53
女性D大,それがそうとも言い切れんのよ。中央の貴族が地方を搾取する仕組みに、地方の武装勢力が真っ向から「ノー」を突きつけた最初級の例なんや。後の武士が自分らの力で土地を治める時代の、いわば走りやねん。だから単なる謀反人やのうて、関東武士の精神的な元祖として評価する見方も根強いんや,スレ②,54
男性E,はい武士オタの過大評価、盛りすぎて引くわ,スレ②,55
男性A下,過大評価ってだけで片付けるのも雑やろ、現に怨霊で千年語り継がれとるんやから,スレ②,56
女性B,あと同じ時期に西で藤原純友も暴れとって、東西で同時に乱が起きとったんよな,スレ②,57
男性C下,それや、承平天慶の乱でセット扱いされるやつ。朝廷からしたら東西挟み撃ちで生きた心地せんかったやろな,スレ②,58
解説者,"承平天慶の乱とは、
平安時代中期に東西で同時に起きた
二つの大きな反乱の総称である。",解説：承平天慶の乱,1
解説者,"東国では平将門が新皇を名乗って関東を制圧し、
西国では瀬戸内で藤原純友が
海賊を率いて朝廷に反旗をひるがえした。",解説：承平天慶の乱,2
解説者,"朝廷にとっては東西から同時に
挑戦を突きつけられた前代未聞の事態であり、",解説：承平天慶の乱,3
解説者,"地方の武士の力を
中央が無視できなくなっていく
大きな転機となった出来事である。",解説：承平天慶の乱,4
女性D,もし将門が勝っとったら関東に別の国できてたんかな,スレ②,59
男性E大,そこはロマンあるよな。もし討伐をしのいで東国政権が定着しとったら、関東拠点の独立勢力が早い段階で出来て、武士の世が何百年か前倒しになってたかもしれん。まあ補給も人望もまだ足りんかったから現実は厳しかったやろけど。知らんけど、たらればとしては最高に面白い人物やわ,スレ②,60
男性A下,関東人としてはちょっと応援したくなる,スレ②,61
女性B,ワイ千葉県民、地味に将門ゆかりの地に住んどる,スレ②,62
男性C,で、結局その首が今も大手町でブチギレてるわけやな,スレ②,63
女性D下,千年たっても一等地から動かんあたり、ある意味いまだに関東の主やってるとも言えるわ,スレ②,64
男性E,うまいこと言うやん,スレ②,65
男性A,ワイ明日大手町で乗り換えあるし、ちゃんと拝んどくわ。将門さん祟らんといてな,スレ②,66
解説者,本日はここまで。,締め,1
解説者,"今回は、平将門の祟りについての
さまざまな議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,"2ちゃんねるの歴史オタクたちの
議論を見ていると、",締め,3
解説者,"将門は単なる祟り神ではなく、
時代に真っ向から立ち向かって果てた反骨の武将であり、
だからこそ千年経った今も
畏れと敬いを同時に集め続けているのだと思えた。",締め,4
解説者,"今回の動画について他の意見や
感想があったらぜひコメントで教えてね！",締め,5
解説者,"他にも歴史にまつわる情報をまとめた
動画が満載なので、ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,6
