登場人物,セリフ,備考,番号
男性A大,"芹沢はもともと水戸の出身で、
腕も立つし押し出しも強いから初期の新選組をぐいぐい引っ張ってた人物。
ただ商家に押し入って金を強請ったり、
宴席で暴れたりと素行が荒れすぎて、
隊の評判を落とす存在になっていった。
京都を任された会津藩の手前、
近藤らとしても放っておけんかったんやろ",スレ①前半(闇),32
女性B,トップを身内が始末する組織こわすぎ,スレ①前半(闇),33
男性C下,乗っ取りやんけそれ,スレ①前半(闇),34>>30
女性D,"表向きは度重なる乱暴狼藉や酒乱が理由とされる。
けど近藤派が主導権を握るための粛清やったって見方もあって、
動機は伝えられるところでも諸説ある。
どっちが本当かは今も決着してへん",スレ①前半(闇),35
男性E,結局なんでも諸説まみれやな,スレ①前半(闇),36
男性A,酒乱で消されるならワイも危ない,スレ①前半(闇),37
女性B下,おまえは隊士ちゃうやろ,スレ①前半(闇),38>>37
男性C,仲間内の評判で生死決まるの世知辛すぎ,スレ①前半(闇),39
女性D,"極めつけが油小路事件や。
1867年、
隊を抜けて御陵衛士いう別組織を作った伊東甲子太郎を、
近藤が酒宴に招いて泥酔させて、
その帰り道を待ち伏せして討っとる",スレ①前半(闇),40
男性E,伊東甲子太郎って読めんわ,スレ①前半(闇),41
男性A,いとうかしたろうやで,スレ①前半(闇),42
女性B,酒で油断させてからとか陰湿すぎる,スレ①前半(闇),43
男性C下,御陵衛士もなんて読むねん,スレ①前半(闇),44>>40
女性D下,"ごりょうえじ。
孝明天皇の陵を守るって名目で伊東らが立ち上げた組織や。
新選組から分かれたから、
近藤からしたら裏切り者に見えたんやろな",スレ①前半(闇),45>>44
男性E,抜けただけで狙われるの理不尽,スレ①前半(闇),46
男性A大,"御陵衛士の側にも新選組の生え抜きが何人かおってな。
一回は同じ釜の飯食った仲やのに、
思想が割れた途端に討つ側と討たれる側に分かれる。
この内向きの論理が積み重なって、
敵より身内の犠牲が膨らんでいった",スレ①前半(闇),47
女性B,思想の違いで命とか令和では無理や,スレ①前半(闇),48
解説者,"油小路事件とは、
慶応3年、
新選組がかつての仲間を討った事件である。",解説：油小路事件,1
解説者,"隊を離れて御陵衛士という別組織を立ち上げた伊東甲子太郎を、
近藤勇が酒宴に招き、
その帰り道を待ち伏せして討ったとされる。",解説：油小路事件,2
解説者,"御陵衛士は、
孝明天皇の陵を守るという名目で結成された組織だったが、
新選組から分かれた者たちであった。",解説：油小路事件,3
解説者,"思想の違いから、
同じ釜の飯を食った仲が、
討つ側と討たれる側に分かれた出来事である。",解説：油小路事件,4
男性C,"池田屋では尊王攘夷派をようけ討っとるけど、
あれは外の敵やろ。
身内ばっか斬ってたわけちゃうやん",スレ①前半(闇),49
女性D大,"池田屋で全国に名が轟いたのは事実や。
三条木屋町の旅籠を襲って一網打尽にして、
ここで「新選組こわい」が天下に知れ渡った。
ただその武勇伝の裏で、
同じ刀が身内にも振るわれ続けてた。
そこがこの組織の二面性なんよ",スレ①前半(闇),50
男性E,"池田屋は教科書で見たけど、
あれで一気に有名になった印象しかなかった。
裏で身内斬りまくってたとか初めて知ったぞ",スレ①前半(闇),51
男性A,対外的にはちゃんと強いのがまた闇深い,スレ①前半(闇),52
女性B下,このスレ陰湿な話しかなくて草,スレ①前半(闇),53>>52
男性C,壬生浪士組から始まったんやっけ,スレ①前半(闇),54
女性D下,"そうそう、
最初は壬生浪士組いう名前で、
京都の壬生に屯所を構えてた寄せ集めや。
それが八月十八日の政変で会津藩の命で出動して、
その働きを買われて「新選組」の名をもらった",スレ①前半(闇),55>>54
男性E,みぶろうしぐみって変換しんどい,スレ①前半(闇),56
男性A下,寄せ集めが京都最強になるの胸熱やん,スレ①前半(闇),57>>56
女性B,でも内輪揉めで自滅してたら世話ない,スレ①前半(闇),58
男性C下,ほんまそれ,スレ①前半(闇),59>>58
女性D,結局強いんか弱いんかどっちやねん,スレ①前半(闇),60
男性E下,"敵には強い、
味方には冷たい。
それが新選組や",スレ①前半(闇),61>>60
男性A,局中法度きびしすぎて人材育つ前に減ってそう,スレ①前半(闇),62
女性B,自分とこで人材すり潰してたら世話ないわ,スレ①前半(闇),63
男性C,てか芹沢って初代やのにあんま有名ちゃうよな,スレ①前半(闇),64
女性D下,消された側は語られにくいんやろ,スレ①前半(闇),65>>64
男性E,歴史は勝った近藤側の目線で残るからな,スレ①前半(闇),66
男性A大,"山南も芹沢も伊東も、
近藤と土方が組織を固めていく過程でいなくなった連中や。
掟で締めて、
邪魔者は粛清して、
そうやって幕末最強の集団に仕上がっていったとも言える。
きれいな話ではない",スレ①前半(闇),67
女性B,"てか沖田は介錯やら何やらで便利に使われすぎちゃう？
病弱なのに不憫やわ。
労咳やったとか聞いたけど詳しくは知らんわ",スレ①前半(闇),68
男性C,"沖田は別格の腕やったらしいからな。
だからこそ汚れ仕事も回ってきたんやろ",スレ①前半(闇),69
女性D,"で？
結局新選組って正義なん悪なん",スレ①前半(闇),70
男性E大,"そこはどっちとも言えへん。
治安を守った正義の集団って見方もあれば、
内部を恐怖で締め付けた組織やって見方もある。
善悪で割り切れんから今も人気なんやろ。
掟も数字も諸説まみれで、
確かなのは「敵より身内を多く失った」っていう一点だけや",スレ①前半(闇),71
男性A,善悪で割れんのが一番おもろいわ,スレ①前半(闇),72
女性B下,なんやかんやで結論出てなくて草,スレ①前半(闇),73>>72
男性C,"はい解散、
どうせアンチが暴れたいだけのスレやろ",スレ①前半(闇),74
女性D,そもそもこいつら何者の集まりやったんや,スレ①前半(闇),75
男性E,局長近藤も最後ろくな終わり方ちゃうかったよな,スレ①前半(闇),76
男性A下,その話まだ出てへんやろ続けてや,スレ①前半(闇),77>>76
解説者,"ここまでは、
新選組の闇、
敵より味方を斬ったとも言われる組織のあり方についての議論を見てきたが、",前置き,1
解説者,"「そもそも新選組は、
どうやって生まれて、
どう消えていったの？
」と、
その歩みに疑問を持つ者も現れた。",前置き,2
解説者,"たしかに、
わずか数年で生まれて消えたこの集団は、
一体どんな最期をたどったのだろうか。",前置き,3
解説者,"引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,4
男性A,"新選組、
生まれて消えるまで6年しかなかった",スレ②後半(興亡),1
女性B下,たった6年か,スレ②後半(興亡),2>>1
男性C下,早すぎやろ,スレ②後半(興亡),3>>1
女性D下,結成いつや,スレ②後半(興亡),4>>1
男性E下,壬生浪士組からやな,スレ②後半(興亡),5>>4
男性A,壬生って読めんわ,スレ②後半(興亡),6
女性B,みぶろうしぐみ,スレ②後半(興亡),7
男性C大,"文久3年、
1863年に京で結成された壬生浪士組が始まりや。
将軍警護のために集めた浪士の寄せ集めで、
最初から新選組やったわけちゃう。
江戸から上ってきた近藤勇や土方歳三らがそこに混じっとった",スレ②後半(興亡),8
女性D,寄せ集めから始まったんか,スレ②後半(興亡),9
解説者,"壬生浪士組とは、
新選組の前身となった浪士の集団である。",解説：壬生浪士組,1
解説者,"文久3年、
将軍の警護を名目に集められた浪士のうち、
京に残った者たちが壬生村を拠点としたことからこう呼ばれた。",解説：壬生浪士組,2
解説者,"近藤勇や土方歳三もこの中におり、
やがて八月十八日の政変での働きが認められ、
「新選組」の名を与えられることになる。",解説：壬生浪士組,3
男性E,名前はいつ付くん,スレ②後半(興亡),10
男性A下,八月十八日の政変やな,スレ②後半(興亡),11>>10
女性B,政変ってなんやっけ,スレ②後半(興亡),12
男性C下,"同じ1863年の八月十八日の政変で会津藩の命を受けて出動した。
その働きが認められて、
直後に会津から「新選組」の名をもらって京都市中の警護を任されたんや",スレ②後半(興亡),13>>10
女性D,名前もろて出世しとる,スレ②後半(興亡),14
男性E下,ここまでは普通にええ話やん,スレ②後半(興亡),15>>14
男性A,闇はどこ,スレ②後半(興亡),16
女性B,池田屋は？,スレ②後半(興亡),17
男性C下,"翌1864年の池田屋事件で一気に名が全国に轟く。
三条木屋町の旅籠で尊王攘夷派の志士が集まっとったとこを襲撃した。
新暦やと7月8日や",スレ②後半(興亡),18>>17
女性D下,そこは聞いたことある,スレ②後半(興亡),19>>18
男性E,池田屋で跳ねたんやな,スレ②後半(興亡),20
男性A,"これで「新選組こわい」が広まって、
京の治安組織として名実ともに名を上げた",スレ②後半(興亡),21
解説者,"池田屋事件とは、
元治元年、
新選組が京の旅籠で尊王攘夷派の志士を襲撃した事件である。",解説：池田屋事件,1
解説者,"三条木屋町の池田屋に集まっていた志士たちを急襲したこの一件で、
新選組の名は一気に全国へと轟いた。",解説：池田屋事件,2
解説者,"新暦では1864年7月8日にあたり、
結成からわずか一年での、
組織の絶頂を象徴する出来事であった。",解説：池田屋事件,3
女性B,でもそっから先がな,スレ②後半(興亡),22
男性C,短いんやろ結局,スレ②後半(興亡),23
女性D,6年て言うてたしな,スレ②後半(興亡),24
男性E,"全盛期はほんま一瞬や。
池田屋が1864年、
そっから鳥羽伏見が1868年やから、
京で恐れられたのは実質3〜4年くらいやろ",スレ②後半(興亡),25
男性A下,短すぎて草ｗ,スレ②後半(興亡),26>>25
女性B,"組織が一番ピリついて内部の粛清が多かったのもこの時期と重なる。
伸びてる時ほど中はキナ臭かった",スレ②後半(興亡),27
男性C,山南さんとかな,スレ②後半(興亡),28
女性D,切腹させられたんやっけ,スレ②後半(興亡),29
男性E,"局中法度っていう厳しい隊規があって、
破った隊士は切腹で粛清された。
山南敬助は脱走を理由に切腹させられたと伝わる",スレ②後半(興亡),30
男性A下,味方に厳しすぎる,スレ②後半(興亡),31>>30
女性B,局中法度って「きょくちゅうほうど」やろ,スレ②後半(興亡),32
男性C下,"ちゃう、
きょくちゅうはっとや。
ほうどやと意味変わってまうで",スレ②後半(興亡),33>>32
女性D下,"あ、
そうなんか。
サンガツ",スレ②後半(興亡),34>>33
男性E,"読みは「さんなん」が通りやすいけど「やまなみ」説もある。
法度の条文も後年に整理されたとも言われて、
確かな原本が残っとるわけやないらしいけどな",スレ②後半(興亡),35
男性A,山南さん人気あるのにかわいそう,スレ②後半(興亡),36>>30
女性B,伊東なんとかも消されたよな,スレ②後半(興亡),37
男性C,油小路や,スレ②後半(興亡),38
女性D,"慶応3年、
1867年の油小路事件やな。
御陵衛士を結成して新選組から分かれた伊東甲子太郎を、
近藤勇が酒宴に招いて泥酔させて、
帰り道で襲わせた",スレ②後半(興亡),39
男性E,酒に誘って帰りを狙うの陰湿すぎ,スレ②後半(興亡),40
男性A下,こわ,スレ②後半(興亡),41>>40
女性B,"御陵衛士は孝明天皇の陵を守る名目で伊東らが作った組織や。
袂を分かった元同志を謀って討つあたり、
もう完全に内ゲバやな",スレ②後半(興亡),42
男性C,伊東甲子太郎ってかしたろうって読むんか,スレ②後半(興亡),43
女性D,甲子でかしは無理あるやろ,スレ②後半(興亡),44
男性E下,難読すぎる,スレ②後半(興亡),45>>43
男性A,てかそんな組織がなんで最強て呼ばれたんや,スレ②後半(興亡),46
女性B下,内輪揉めばっかやん,スレ②後半(興亡),47>>46
男性C,はい解散,スレ②後半(興亡),48
女性D下,"内を締め上げる怖さがそのまま外への強さに見えた面はある。
腕の立つ剣客も実際おったしな。
ただ「史上最強の剣客集団」みたいな断定は盛りや",スレ②後半(興亡),49>>46
男性E,"強かった時期と内部がガタガタの時期、
地続きやったのが実像やと思うで",スレ②後半(興亡),50
男性A,まあ伝説は盛られるもんや,スレ②後半(興亡),51
女性B,鳥羽伏見はどうなったん,スレ②後半(興亡),52
男性C下,そこで負けるんやんな,スレ②後半(興亡),53>>52
女性D,"1868年の鳥羽伏見の戦いで旧幕府側として戦うけど敗れて、
ここから新選組は一気に瓦解していく",スレ②後半(興亡),54
男性E下,刀の集団では押し切れんかったんやな,スレ②後半(興亡),55>>54
男性A,"時代が刀から銃に変わる、
ちょうどその境目に立ってた集団やからな",スレ②後半(興亡),56
女性B,しんみりするわ,スレ②後半(興亡),57
男性C,近藤さんは？,スレ②後半(興亡),58
女性D,捕まったんやっけ,スレ②後半(興亡),59
男性E,"近藤勇は慶応4年、
1868年の4月25日に板橋で斬首された。
局長が刑場で果てるって、
武士としてはかなり厳しい最期や",スレ②後半(興亡),60
男性A下,局長まで逝ってもうたんか,スレ②後半(興亡),61>>60
女性B,"土方はそれでもまだ抵抗を続けて、
戦いの場を北へ北へと移していった。
組織はもう半分崩れてたのにな",スレ②後半(興亡),62
男性C下,箱館やな,スレ②後半(興亡),63>>62
女性D,五稜郭のとこ,スレ②後半(興亡),64
男性E,ワイの地元やわ函館,スレ②後半(興亡),65
男性A下,"函館な、
当時は箱館やぞ",スレ②後半(興亡),66>>65
女性B下,"あ、
字が違うんやったか",スレ②後半(興亡),67>>66
男性C,箱館戦争で合っとる,スレ②後半(興亡),68
女性D,"土方歳三は明治2年、
1869年の5月11日に箱館戦争で命を落とす。
一本木関門の突破をはかる途中に銃弾を受けたと伝わる。
享年35や",スレ②後半(興亡),69
男性E下,35て若いな,スレ②後半(興亡),70>>69
男性A,副長かっこよすぎるやろ,スレ②後半(興亡),71
女性B,"箱館政府の幹部で戦死したのは土方だけやった。
最後まで降りずに前に出て、
そのまま果てた",スレ②後半(興亡),72
男性C,五稜郭はいつ落ちたん,スレ②後半(興亡),73
女性D下,"五稜郭の開城は明治2年5月18日、
新暦やと1869年6月27日や。
これで戊辰戦争が終わって、
新選組の戦いも終わる",スレ②後半(興亡),74>>73
男性E,土方の戦死より後なんか,スレ②後半(興亡),75
男性A下,"そこがちょっと切ないんや。
土方が果てたのが5月11日やから、
開城はその7日後になる。
あと一週間粘れば終わりやったとこを、
その手前で散ったことになるんやな",スレ②後半(興亡),76>>75
女性B,うわ7日後か,スレ②後半(興亡),77
男性C,あと一週間て…,スレ②後半(興亡),78
女性D下,それは聞きたくなかった,スレ②後半(興亡),79>>78
男性E下,なんでそこで前に出てまうんや,スレ②後半(興亡),80>>79
男性A,全員いなくなった感じやな,スレ②後半(興亡),81
女性B,"6年で生まれて消えた、
ほんまに",スレ②後半(興亡),82
男性C,ほんで生き残りはおらんの,スレ②後半(興亡),83
女性D,全滅ちゃうやろさすがに,スレ②後半(興亡),84
男性E下,"おるで、
それがこの話の一番ええとこや。
二番隊組長やった永倉新八は維新後に「杉村義衛」と名を変えて生き延びる",スレ②後半(興亡),85>>83
男性A,名前変えて生き直しとる,スレ②後半(興亡),86
女性B,"北海道の樺戸集治監で剣術師範を務めて、
小樽で大正4年、
1915年まで生きた。
享年77や。
斬り合いの渦中におった男が畳の上で天寿をまっとうしてる",スレ②後半(興亡),87
男性C下,77まで生きたんかすげえ,スレ②後半(興亡),88>>87
女性D,斎藤一は？,スレ②後半(興亡),89
男性E,出た人気者,スレ②後半(興亡),90
男性A,斎藤好きなやつほんま多いよな,スレ②後半(興亡),91
女性B,"斎藤一は維新後「藤田五郎」と名乗って、
なんと警視庁に勤めるんや。
元・新選組が明治政府の警察官になるって立場が完全に裏返っとる",スレ②後半(興亡),92
男性C下,警察になっとるやんけ,スレ②後半(興亡),93>>92
女性D下,立場逆転すぎて草ｗｗ,スレ②後半(興亡),94>>93
男性E,"西南戦争にも従軍して、
こっちも大正4年、
1915年まで生きてる。
享年は資料で揺れるから断定はせんけどな",スレ②後半(興亡),95
男性A,享年いくつなん斎藤,スレ②後半(興亡),96
女性B下,"数えと満で前後するんよ。
72とする資料もあれば違う取り方もあって、
生年の見方で変わる。
だいたい70過ぎまで生きたくらいで思っとくのが無難やと思う",スレ②後半(興亡),97>>96
男性C下,"永倉と斎藤、
二人とも1915年没なんか",スレ②後半(興亡),98>>95
女性D,偶然やろけど不思議やわ,スレ②後半(興亡),99
男性E,大正まで生きた隊士おるんやな,スレ②後半(興亡),100
男性A,永倉って晩年なにしてたん,スレ②後半(興亡),101
女性B下,"永倉は晩年に当時のことを語り残してる。
新選組の中の話が後世に伝わってるのは、
生き残った隊士が口を開いたおかげが大きい",スレ②後半(興亡),102>>101
男性C下,語り部やん,スレ②後半(興亡),103>>102
女性D,"死んでいった者の代わりに、
生き延びた者が語る。
組織は消えても証言は残った、
そういう終わり方やな",スレ②後半(興亡),104
男性E,ちょっとええ話やめろ,スレ②後半(興亡),105
男性A,泣くやろこんなん,スレ②後半(興亡),106
女性B,結局新選組ってなんやったんやろな,スレ②後半(興亡),107
男性C,時代に飲まれた集団やろ,スレ②後半(興亡),108
女性D下,"善悪で割り切れんとこが残るんよな。
京を守る側として恐れられ、
内では味方を斬り、
最後は時代の波に消えていった。
新政府から見れば敵、
地元から見れば英雄、
見る角度で全然違う顔になる",スレ②後半(興亡),109>>107
男性E下,角度で変わるのはわかる,スレ②後半(興亡),110>>109
男性A,司馬遼太郎の影響もデカいやろ,スレ②後半(興亡),111
女性B,燃えよ剣な,スレ②後半(興亡),112
男性C,あれで土方人気爆発したよな,スレ②後半(興亡),113
女性D,"小説に踊らされすぎやろ、
はい解散",スレ②後半(興亡),114
男性E,"後世の小説や大河でイメージが固まった面はかなりある。
史実の土方と物語の土方は地続きやけど、
全部が史実通りってわけでもない",スレ②後半(興亡),115
男性E,まあワイも燃えよ剣で好きになった口やから人のこと言えんけどな,スレ②後半(興亡),116
男性A,正直になるのやめろ,スレ②後半(興亡),117
女性B下,草ｗ,スレ②後半(興亡),118>>117
男性C,土方は独身やろたしか,スレ②後半(興亡),119
女性D下,そのへんはよう知らん,スレ②後半(興亡),120>>119
男性E,日野に資料館あるよな土方の,スレ②後半(興亡),121
男性A下,"行ったわあそこ、
ええとこやった",スレ②後半(興亡),122>>121
女性B,函館にも土方の像あるで,スレ②後半(興亡),123
男性C,そうなんか,スレ②後半(興亡),124
女性D,命日の5月11日に人集まるらしいな,スレ②後半(興亡),125
男性E,ワイ来月函館旅行やわ,スレ②後半(興亡),126
男性A,ついでに五稜郭寄っとけ,スレ②後半(興亡),127
女性B,星形のとこな,スレ②後半(興亡),128
男性C,拝んどくわ土方さん,スレ②後半(興亡),129
解説者,"本日はここまで。
今回は、
新選組についてのさまざまな議論を見てきたが、
いかがだっただろうか？",締め,1
解説者,2ちゃんねるの歴史オタクたちの議論を見ていると、,締め,2
解説者,"最強と恐れられた集団は、
外の敵にではなく、
自らの厳しい掟と内なる闇によって削られ、",締め,3
解説者,"わずか6年で生まれて消えていった、
あまりにも短く激しい組織だったように思えた。",締め,4
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！,締め,5
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,6
