登場人物,セリフ,備考,番号
男性E,はえ〜,スレ①,15
男性A,早良親王とかおったやん,スレ①,16
女性B下,"淳仁とか後鳥羽もおる。
ただ崇徳は罪人扱いで配流された上皇ってだけでも当時はとんでもない事件。
格が違うと言われる所以やな",スレ①,17>>14
男性C,なんで負けたん,スレ①,18
女性D下,"保元の乱な、
1156年や。
崇徳が弟の後白河と揉めて武力衝突になって、
負けた",スレ①,19>>18
男性E下,"後白河側についたのが平清盛と源義朝な。
崇徳方も為義や為朝みたいな猛者がおったのに、
夜討ち食らって一晩で崩れた。
武士が朝廷の争いを腕力で決めた最初の事件って言われとるな",スレ①,20>>19
男性A下,武士の時代の幕開けやんけ,スレ①,21>>20
女性B下,兄弟喧嘩やんけ,スレ①,22>>19
男性C下,草 でかい兄弟喧嘩,スレ①,23>>22
女性D下,"崇徳は鳥羽上皇に冷遇されてた。
実父は白河院やないかって噂まであって、
鳥羽から叔父子と呼ばれて疎まれた。
即位の正統性を一生疑われ続けた人や",スレ①,24>>19
男性E下,えぐい生い立ちやな,スレ①,25>>24
男性A,身内争いほどこわいもんないわ,スレ①,26
女性B,ソースは?,スレ①,27
男性C下,"保元物語に載ってる。
まあ軍記物やから脚色は多いらしいけどな",スレ①,28>>27
女性D,諸説あるやろ,スレ①,29
男性E,ここからが本番やぞ,スレ①,30
男性A,何があったん,スレ①,31
女性B下,"配流先で出家して、
ひたすら写経に打ち込んだ。
五部大乗経を三年がかりで書き上げたって聞いた",スレ①,32>>31
男性C下,殊勝やんけ,スレ①,33>>32
女性D,なんで写経が怨霊につながるんや,スレ①,34
男性E下,そこやねん,スレ①,35>>34
男性A下,"写経を京の寺に納めてくれって送ったら、
突き返された",スレ①,36>>34
女性B下,えぐ,スレ①,37>>36
男性C,なんで突き返すねん,スレ①,38
女性D下,"後白河側が呪詛を疑ったらしい。
流された上皇から経が送られてきたら、
不気味に映ったんやろ",スレ①,39>>38
男性E下,疑心暗鬼で草,スレ①,40>>39
男性A,で崇徳ブチギレ,スレ①,41
女性B,キレてどうなった,スレ①,42
男性C,ここが伝説の核心や,スレ①,43
女性D下,"突き返された経の奥に、
自分の舌を噛んだ血で願文を書きつけたと伝わる。
三年かけた経を恨みの証文に変えてしもた",スレ①,44>>43
男性E下,こわ,スレ①,45>>44
男性A,何書いたん,スレ①,46
女性B下,"日本国の大魔縁となり、
皇を取って民とし民を皇とせん、
と。
天皇と民をひっくり返してやるっちゅう宣言や",スレ①,47>>46
男性C下,スケールでかすぎやろ,スレ①,48>>47
女性D下,国家転覆宣言やんけ,スレ①,49>>47
男性E,道真の比やないわこれ,スレ①,50
男性A下,"道真は左遷の恨みやろ。
崇徳は王朝まるごと呪っとるからな。
狙いの大きさがちゃうわ",スレ①,51>>50
女性B,もう言葉も出んわ,スレ①,52
解説者,"五部大乗経とは、
大乗仏教において特に重んじられる五つの主要な経典をまとめて呼ぶ呼称である。
一般には華厳経・大集経・大品般若経・法華経・涅槃経の五つを指すとされ、
いずれも仏の教えの核心を説くものとして古くから尊ばれてきた経典だ。",解説：五部大乗経,1
解説者,"保元の乱に敗れて讃岐に流された崇徳上皇は、
配流先で出家したのち、
自らの罪を償い魂の救いを願って、
この五部大乗経を三年がかりで書写したと伝わる。
膝を屈して都へ戻ることのかなわぬ身が、
ただひたすら筆をとり続けた写経であった。",解説：五部大乗経,2
解説者,"崇徳はその写本を、
せめて京の寺に納めてほしいと朝廷へ送り届けた。
ところが後白河方はこれに呪詛の念がこもっているのではないかと疑い、
受け取らずに讃岐へ突き返してしまったという。",解説：五部大乗経,3
解説者,"このスレで「写経が送り返された」と語られているのが、
まさにこの五部大乗経のことである。
突き返された崇徳が深く絶望し、
ついには自らの血で経の奥に恨みの言葉を書きつけ、
大魔縁となって朝廷を呪うと誓ったという、
いわゆる大魔縁の願文の伝説は、
この一件から生まれたと伝わるのだ。",解説：五部大乗経,4
男性C,"爪も髪も伸ばし放題で、
生きながら天狗になったとも言われる",スレ①,53
女性D下,天狗て,スレ①,54>>53
男性E下,生きながらってのが地味にこわい,スレ①,55>>53
男性A,マ?,スレ①,56
女性B,"伝説やぞ伝説。
鵜呑みにすんな",スレ①,57
男性C下,"血書のくだりは後世の脚色って説も強い。
リアルタイムの記録は乏しいし、
保元物語自体が崇徳の死後に成立した軍記やからな",スレ①,58>>57
女性D下,"知識ニキ落ち着けや、
こわけりゃそれでええんよw",スレ①,59>>58
男性E,"で、
祟ったんか",スレ①,60
男性A下,"崇徳が果てたのが1164年、
配流先の讃岐でな",スレ①,61>>60
女性B,そのあとがヤバい,スレ①,62
男性C,何があった,スレ①,63
女性D下,"まず安元三年の大火で京の大半が焼けた。
続いて鹿ヶ谷の陰謀、
源平の争乱と、
後白河の周りで不穏な出来事が立て続けに起きた",スレ①,64>>63
男性E下,全部崇徳のせいにされて草,スレ①,65>>64
男性A,結果論ちゃうんか,スレ①,66
女性B下,"それはある。
動乱なんて政治の流れで起きるもんやし、
後付けで崇徳に結びつけた面は否めん。
ただ当時の貴族の日記にも崇徳の祟りを恐れる記述が残ってるのは確か",スレ①,67>>66
男性C下,"懐疑派ニキ冷静すぎやろ、
こわい話に水差すなや",スレ①,68>>67
女性D,でも当時の人はガチで震え上がってたんやろ,スレ①,69
男性E下,そら上皇が恨みを残して果てたとなりゃな,スレ①,70>>69
男性A,雰囲気が違うわ,スレ①,71
女性B,わかる,スレ①,72
男性C,"そういや道真は雷で将門は首が飛んだやろ。
崇徳は何が祟りの目玉なん",スレ①,73
女性D下,"崇徳は雷とか首飛ぶみたいな派手なやつ無いねん。
そのかわり保元の乱から源平、
鎌倉まで貴族の世が丸ごと崩れてくのを全部呪いの成就扱いされとる。
地味やけど規模がでかいタイプや",スレ①,74>>73
男性E下,なるほどわからんわw,スレ①,75>>74
男性A,朝廷もビビり倒してたんか,スレ①,76
女性B下,"ビビっとった。
鎮魂のためにいろいろ手を打ったんよ",スレ①,77>>76
男性C,どんな,スレ①,78
女性D下,"まず崇徳院って院号を贈った。
配流のときは讃岐院やったのを格上げした形やったはず。
あと墓のあたりに頓証寺っちゅう寺を建てて霊を慰めた",スレ①,79>>78
男性E下,ちゃんと祀るのが日本式やな,スレ①,80>>79
男性A,祟りを神として鎮めるやつ,スレ①,81
女性B,御霊信仰ってやつか,スレ①,82
男性C下,"それそれ。
恐ろしい霊ほど手厚く祀って味方につける発想",スレ①,83>>82
女性D,ちな道真の天満宮も将門の神田明神も同じ理屈やろ,スレ①,84
男性E下,"せやな。
怨霊を放置せず神に転換するのが御霊信仰の核。
三大怨霊が三人ともデカい社に祀られてるのは偶然やない",スレ①,85>>84
解説者,"御霊信仰とは、
政争や非業の最期によってこの世に強い恨みを残したとされる人物の霊、
すなわち御霊や怨霊を畏れ、
これを手厚く神として祀ることで、
その祟りを鎮め、
逆に世を守る神へと転じてもらおうとする信仰である。
平安時代に広まった、
日本独特の信仰のかたちだ。",解説：御霊信仰,1
解説者,"その核にあるのは、
恐ろしい霊ほど丁重に祀り、
味方につけてしまおうという発想である。
恨みを残した霊を放置すれば祟りをもたらすが、
神として手厚く祀れば、
その力は逆に人々を守る方へと向く。
怨霊を消し去るのではなく、
神へと転換させてしまうわけだ。",解説：御霊信仰,2
解説者,"崇徳上皇に崇徳院の院号を贈り、
社を建てて慰めたのも、
菅原道真を天満宮に、
平将門を神田明神に祀ったのも、
すべてこの御霊信仰に基づいている。
だからこそ三人は日本三大怨霊として恐れられながら、
同時に神として祀られているのだ。",解説：御霊信仰,3
解説者,"このスレで語られている、
祟りを神として鎮める、
怨霊を放置せず神に転換する、
という考え方こそが、
まさにこの御霊信仰の本質だと言える。",解説：御霊信仰,4
男性A,なるほどな,スレ①,86
女性B大,"三大怨霊って括り自体は割と後世の整理らしいで。
崇徳・道真・将門で並べられるけど、
菅原道真は学問の神、
平将門は東国の英雄って側面もあって、
純粋な怨霊として恐れられ続けた度合いなら崇徳が頭一つ抜けとる印象",スレ①,87
男性C,道真とか今や受験生の味方やもんな,スレ①,88
女性D下,"信者乙、
道真も普通に天変地異の元凶扱いされとったぞ。
盛りすぎや",スレ①,89>>88
男性E,極めつけが明治や,スレ①,90
男性A,明治がどうした,スレ①,91
女性B下,"1868年、
明治天皇が即位にあたって勅使を讃岐に送り、
崇徳の霊を京へ迎えた。
崩御から実に700年越しの鎮魂や",スレ①,92>>91
男性C下,700年て,スレ①,93>>92
女性D,執念やん,スレ①,94
男性E下,"迎えた霊を祀るために白峯神宮を建てた。
新政府が王政復古を掲げる以上、
王朝を呪った最大の怨霊を放っておけんかったんやろな",スレ①,95>>94
男性A下,新政府がまず怨霊鎮めから入るの渋すぎる,スレ①,96>>95
女性B,それだけ恐れられてたってことやな,スレ①,97
男性C,はえ〜,スレ①,98
女性D,王政復古の足元に700年前の呪いが転がっとるのエモすぎる,スレ①,99
男性E大,"そういや崇徳は天狗の総大将になったって話もあるな。
崇徳・後鳥羽・後醍醐の三人が日本三大悪天狗って呼ばれて、
配流された帝が天狗になるって筋立てが繰り返されたらしい。
崇徳がその筆頭",スレ①,100
男性A,帝が天狗の親玉とか業が深すぎる,スレ①,101
女性B,崇徳って怨霊のイメージ強いけど歌人としても一流やったんよな,スレ①,102
男性C下,"せやで。
百人一首の瀬をはやみの歌、
あれ崇徳院や。
割かれた川がまた一つになるって恋の歌やけど、
流された身でいつか返り咲くっちゅう執念にも読めるって言われとる",スレ①,103>>102
女性D下,怨霊スレで急に風流になって草,スレ①,104>>103
男性E,香川には白峯陵があるんやろ,スレ①,105
男性A下,"あるで。
今でも参れる",スレ①,106>>105
女性B,行ってみたいわ,スレ①,107
男性C,雨月物語にも出てくるよな,スレ①,108
女性D下,出てくる出てくる,スレ①,109>>108
男性E下,"上田秋成の白峯っちゅう一篇。
怨霊になった崇徳が西行と問答する話で、
ここでも国を乱す宣言をしてる。
文学の題材になるあたり格が違う",スレ①,110>>108
男性A下,文学にまでなる怨霊の格よ,スレ①,111>>110
女性B,"ただ秋成の創作部分も多いから、
史実と物語は分けて読まなあかんけど",スレ①,112
男性C,そこまでいくともはやレジェンドやな,スレ①,113
女性D,政治で負けた人が怨霊で勝つの皮肉やな,スレ①,114
男性E,"生きてる時は流されて、
果てたら王朝を揺るがすとか",スレ①,115
男性A,ロマンあるわ,スレ①,116
女性B,"こわいけどロマンある、
それな",スレ①,117
男性C,三大怨霊で一番はやっぱ崇徳でええか,スレ①,118
女性D下,ええやろ,スレ①,119>>118
男性E,異論なし,スレ①,120
男性A,道真ニキと将門ニキには悪いが格が違うわ,スレ①,121
女性B,"いや待て、
首が飛んでなお江戸を睨む将門も大概やろ。
一番なんか決められん",スレ①,122
男性C下,出た逆張りニキwww,スレ①,123>>122
女性D,"信者乙、
結局は好みやろこんなん",スレ①,124
男性E,讃岐行きたくなってきた,スレ①,125
男性A,白峯神宮も京都やし両方巡れるな,スレ①,126
女性B,結局祟りより執念の物語よな崇徳は,スレ①,127
男性C,香川行ったらうどんも食わなな,スレ①,128
解説者,"ここまでは、
崇徳天皇にまつわる怨霊伝説や、
彼が遺したとされる呪いの数々について見てきたが、",前置き,1
解説者,"そもそも崇徳天皇は、
なぜそこまで深い怨念を抱くことになったのか。
一人の天皇が、
自らの国を呪うとまで言わせるほどの恨みを募らせるには、
いったいどんな人生があったのだろうか。",前置き,2
解説者,"実の父である鳥羽天皇に疎まれ、
叔父子と陰口を叩かれ、
弟たちに翻弄され続けた生涯。
最後には保元の乱に敗れ、
遠く讃岐の地へと流されていった崇徳天皇。
その数奇な運命を、
ここからは生まれたところまで遡って辿っていこう。",前置き,3
解説者,"それでは引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,4
男性A,崇徳天皇とかいう日本史上いちばん不憫な天皇についてマジで話そうや,スレ②,1
女性B下,誰やそれ,スレ②,2>>1
男性C下,怨霊のやつやろ?知ってる,スレ②,3>>1
女性D下,"それ後半な、
まず生きてた頃の話しようや",スレ②,4>>3
男性E,結局なにした人なんや,スレ②,5
男性A下,何もできんかった人やぞ,スレ②,6>>5
女性B下,は?,スレ②,7>>6
男性C,"いやマジで。
生まれた瞬間から周りの都合で立ち位置を決められて、
最後の最後まで自分の番が一度も回ってこんかった。
そういう一生やねん",スレ②,8
女性D下,かわいそう枠か,スレ②,9>>8
男性E,"第75代天皇な。
生まれは1119年。
父は鳥羽天皇で、
第一皇子という肩書きだけ見たら、
次の天皇は文句なしでこの子、
いう本命中の本命やった",スレ②,10
男性A下,なら勝ち組やん,スレ②,11>>10
女性B大,"普通ならそうなる。
第一皇子がそのまま天皇を継いで、
退いたあとは上皇として院政を敷き、
孫の代まで自分の血筋で固める。
それが当時の勝ちパターンや。
崇徳はその一番おいしい椅子に座る予定の人間やった",スレ②,12
男性C,ここからがあかんねん,スレ②,13
女性D下,なんかあったん?,スレ②,14>>13
男性E下,出生の秘密ってやつ,スレ②,15>>14
男性A,でた,スレ②,16
女性B,"表向きはあくまで鳥羽の子や。
けど実の父は祖父にあたる白河法皇やないか、
いう噂が崇徳の生まれる前から宮中で付いて回っとった",スレ②,17
男性C下,祖父が父ってどういうことや,スレ②,18>>17
女性D下,"母の璋子が白河にえらい可愛がられてた人でな。
その仲が崇徳の懐妊より前から続いとったって言われとる。
せやから鳥羽はこの子を自分の子と素直に思えんまま、
ずっと疑いを抱え込んどった",スレ②,19>>18
男性E下,えぐすぎやろ,スレ②,20>>19
男性A,"つまり鳥羽からしたら、
この子は祖父の子=自分の弟ってことになってまう",スレ②,21
女性B下,そうそれで叔父子って呼んでた,スレ②,22>>21
男性C下,おじご?,スレ②,23>>22
女性D下,"自分にとっては叔父にあたる子、
いう意味やな。
本来なら実の父であるはずの鳥羽が、
生まれてきた我が子を弟扱いして突き放したわけや",スレ②,24>>23
男性E下,しんど,スレ②,25>>24
男性A,"この呼び名が生涯ずっと尾を引いてまう。
崇徳がのちにどんな立場を手にしても、
鳥羽の中で失った点数が戻ることは一度も無かった",スレ②,26
女性B,噂って確定ソースあるん?,スレ②,27
男性C下,"ないで。
当時からの噂の域を出てへん。
今となっては誰にも証明できんしな",スレ②,28>>27
女性D下,なら鳥羽の被害妄想の可能性も,スレ②,29>>28
男性E下,"そこは諸説あるとこ。
真偽はともかく、
鳥羽が崇徳を露骨に冷遇し続けたことだけは記録から動かん",スレ②,30>>29
男性A,はえ〜,スレ②,31
女性B,"で、
その鳥羽の都合で5歳の崇徳が即位させられるんや。
1123年な",スレ②,32
男性C下,はやすぎ,スレ②,33>>32
女性D,"白河法皇が孫を急いで天皇の座に据えたんよ。
自分が裏から好きに操れる札を、
生きてるうちに一枚握っておきたかったんやな",スレ②,34
男性E下,なら実権は白河やん,スレ②,35>>34
男性A下,"そう、
完全な傀儡や。
位は天皇でも、
崇徳本人が自分で動かせるものは何ひとつ無かった",スレ②,36>>35
女性B下,飾りやんけ,スレ②,37>>36
男性C,"それでも白河が生きとる間はまだマシやった。
曲がりなりにも最強の後ろ盾が一人付いとったからな",スレ②,38
女性D下,死んだらどうなるん,スレ②,39>>38
男性E,"1129年に白河が亡くなって、
入れ替わりで今度は鳥羽が院政を始める。
唯一の後ろ盾が消えた上に、
よりによって一番嫌われとる相手に頭を握られる展開や",スレ②,40
解説者,"院政とは、
天皇が位を退いて上皇となり、
出家すれば法皇と呼ばれた身でありながら、
なお政治の実権を握り続ける政治形態である。
天皇の住まいではなく、
退位した上皇の御所を院と呼んだことから、
この名がついた。",解説：院政,1
解説者,"この仕組みを本格的に始めたのが白河上皇であり、
その後、
鳥羽上皇、
後白河上皇へと受け継がれていった。
ここで重要なのは、
天皇の位にある者が必ずしも権力を握っていたわけではない、
という点である。
実際の力は院、
すなわち上皇が握り続けたため、
在位中の天皇はしばしば名ばかりの存在に置かれることになった。",解説：院政,2
解説者,"崇徳天皇は、
わずか5歳で即位した。
だが、
その実権は祖父である白河法皇が、
そして白河の死後は父・鳥羽上皇が、
院政によって握り続けたのである。
つまり崇徳は、
天皇という最高の地位にありながら、
自分では何ひとつ決められない立場に置かれていた。
スレで彼が傀儡と語られるのは、
まさにこの院政という構造ゆえなのである。",解説：院政,3
男性A下,嫌ってる相手に握られるのか,スレ②,41>>40
女性B,もう詰みの匂いしかせん,スレ②,42
男性C,マ?,スレ②,43
女性D,"1141年、
鳥羽に迫られて崇徳は譲位させられる。
形の上では自分から退いた体裁を取らされた",スレ②,44
男性E下,自分から退いたんやないんか,スレ②,45>>44
男性A大,"名目は譲位でも、
中身はただの追い出しやった。
位は異母弟の近衛天皇に渡される。
鳥羽が近衛の母である得子を寵愛しとって、
どうしてもその腹の子を次の天皇に据えたかったんよ。
崇徳の意向なんぞ最初から眼中に無い",スレ②,46
女性B,弟に取られたんか,スレ②,47
男性C,"それで崇徳は天皇から上皇になる。
まだ20代の前半やぞ。
第一線を退いて隠居の身に追いやられるには、
あまりに早すぎる歳やった",スレ②,48
女性D下,若隠居きっつ,スレ②,49>>48
男性E,"ただ、
この時点ではまだ望みが残っとった。
崇徳には実の子がおったからな",スレ②,50
男性A下,逆転の目あるやん,スレ②,51>>50
女性B下,"重仁親王いう子や。
近衛が継いだあとはこの子に位が回ってくるはず、
崇徳はその一点に最後の望みを賭けて、
じっと耐えとった",スレ②,52>>51
男性C,近衛が継いだあと重仁の番が来る流れか,スレ②,53
女性D下,"筋を通せば、
本来はそうなるはずやった",スレ②,54>>53
男性E,いやな予感,スレ②,55
男性A,"で1155年な、
その近衛天皇が17歳であっけなく早世してまうんや",スレ②,56
女性B下,わっか,スレ②,57>>56
男性C下,チャンスやん!順番なら次は重仁の番やろ,スレ②,58>>56
女性D,"ところが、
や",スレ②,59
男性E,まさか,スレ②,60
男性A下,鳥羽が次に選んだのは重仁やのうて後白河やった,スレ②,61>>58
女性B下,だれそれ,スレ②,62>>61
男性C下,"崇徳と母を同じくする弟や。
璋子の子で、
崇徳から見れば同腹の兄弟にあたる",スレ②,63>>62
女性D下,また弟かよ,スレ②,64>>63
男性E,"ここで崇徳は政治の表舞台から完全に弾き出された。
頼みの重仁は順番ごと飛ばされ、
自分の存在まで丸ごと無いものにされてもうた",スレ②,65
男性A下,八方塞がりやん,スレ②,66>>65
女性B,"おまけにや。
近衛が早死にしたのは崇徳が呪ったせいやって陰口まで、
宮中で堂々と囁かれた",スレ②,67
男性C下,とばっちりで草,スレ②,68>>67
女性D下,"何もしてへんのに、
むしろ後継を潰された側が犯人扱いやで",スレ②,69>>67
男性E,かわいそうにも程があるわ,スレ②,70
男性A,"そして1156年、
ついに鳥羽法皇が亡くなる",スレ②,71
女性B下,重石が取れたか,スレ②,72>>71
男性C下,"取れた瞬間に火がついた。
これが保元の乱や",スレ②,73>>72
女性D,きたか,スレ②,74
男性E大,"崇徳上皇と藤原頼長が手を組む。
対するは後白河天皇と藤原忠通。
しかも頼長と忠通は実の兄弟やぞ。
天皇家も摂関家も、
親子や兄弟がそのまま敵味方に割れて睨み合う、
いう異常な構図になってもうた",スレ②,75
男性A,兄弟げんかの規模やないやんけ,スレ②,76
女性B,"朝廷まるごと真っ二つや。
誰がどっちに付くかで、
一族がそのまま分裂した",スレ②,77
男性C下,ぐちゃぐちゃやな,スレ②,78>>77
女性D,"そこで両陣営が頼ったのが武士や。
後白河方には源義朝と平清盛が付いた",スレ②,79
男性E下,でた清盛,スレ②,80>>79
男性A,"崇徳方にも武士はおった。
義朝の父である源為義と、
その子の為朝らがこっちに付いとる",スレ②,81
女性B下,身内同士で敵味方に分かれてるやん,スレ②,82>>81
男性C下,"そこが保元の乱の地獄ポイントな。
源氏が親子で割れて、
義朝は実の父である為義に弓を引くはめになった",スレ②,83>>82
女性D下,えぐ,スレ②,84>>83
男性E,結果は?,スレ②,85
男性A下,"崇徳方の負け。
それもあっさりや",スレ②,86>>85
女性B下,あっさりなんか,スレ②,87>>86
男性C下,"半日であっという間に決着がついた。
崇徳方の為朝は弓の名手で滅法強かったんやが、
それでも最後は相手の数と勢いの前に押し切られてまう",スレ②,88>>87
女性D,なんで負けたん,スレ②,89
男性E下,"出だしのつまずきがでかいわ。
崇徳方の為朝が今夜のうちに夜襲かけよって進言したんやけど、
頼長が夜討ちなんぞ卑怯や堂々と戦えで却下してもうた",スレ②,90>>89
男性A下,正々堂々で散るパターンや,スレ②,91>>90
女性B,"逆に後白河方は、
義朝が出した同じ夜襲案をそのまま採用しとった。
先手で攻め込まれた崇徳方は、
何もできんまま受け身で崩れていった",スレ②,92
男性C下,内輪でモタついた末に出し抜かれたんか,スレ②,93>>92
女性D,詰めの甘さが全部出た一戦やな,スレ②,94
解説者,"保元の乱とは、
1156年、
すなわち保元元年に、
鳥羽法皇の崩御直後の都で起きた武力衝突である。
天皇家と摂関家の内部対立が一気に噴き出した政変だ。",解説：保元の乱,1
解説者,"戦いの構図は深刻なものであった。
崇徳上皇と藤原頼長の陣営に対し、
後白河天皇と藤原忠通の陣営が真っ向から対立する。
皇室も摂関家も、
兄弟が、
親子が、
それぞれ敵味方に分かれるという異常な内部分裂であった。",解説：保元の乱,2
解説者,"両陣営はそれぞれ武士を動員する。
後白河方には源義朝と平清盛が、
崇徳方には源為義・為朝らがついた。
源氏もまた、
親子で敵味方に割れたのである。
激突の結果は、
崇徳方の敗北に終わった。",解説：保元の乱,3
解説者,"この保元の乱こそ、
武士の力が中央の政争を直接決する時代の到来を告げた、
大きな転換点として知られている。
そして敗れた崇徳上皇は、
遠く讃岐へと配流された。
このスレの中心になっているのが、
まさにこの戦い、
保元の乱なのである。",解説：保元の乱,4
男性E,で負けた崇徳はどうなるん,スレ②,95
男性A下,"讃岐へ流された。
天皇まで務めた人間が配流とか、
四百年ぶりの椿事やぞ",スレ②,96>>95
女性B下,上皇が島流しって,スレ②,97>>96
男性C,"厳密には島やのうて讃岐な。
今の香川県のあたりや",スレ②,98
女性D下,それでも都から追放は重すぎるわ,スレ②,99>>96
男性E,"現地では出家して、
ひたすら写経の日々を送ったらしい",スレ②,100
男性A下,"反省というより、
もう諦めの方が近いやろそれ",スレ②,101>>100
女性B,"三年がかりで五部の大乗経を一字ずつ写しきってな。
これだけは都の寺に納めてほしい、
と頭を下げて京へ送ったんよ",スレ②,102
男性C下,"お、
それは届いたんか",スレ②,103>>102
女性D下,"突き返された。
罪人が書いたものや、
呪いが込められとるかもしれん、
いう理由でな",スレ②,104>>103
男性E下,いやそれは扱いがひどすぎる,スレ②,105>>104
男性A,"そこまでされたら、
さすがに誰でも心が折れるわ",スレ②,106
女性B,"結局1164年、
讃岐で崩御や。
46歳やった。
とうとう都に一度も戻れんまま果てたんよ",スレ②,107
男性C下,8年帰れんかったんか,スレ②,108>>107
女性D下,"流されてから死ぬまで、
ただの一度もや",スレ②,109>>108
男性E,で死後に怨霊扱いされると,スレ②,110
男性A下,"それは別の話やな。
長なるから今はええわ",スレ②,111>>110
女性B,"結局この人、
生涯ずっと選ばれへんかっただけやん",スレ②,112
男性C,"生まれは父に拒まれて、
即位は傀儡、
譲位は強制、
後継も潰されて最後は流罪やで。
自分の意志で何か掴んだ場面、
ほぼ一個も無いやんけ",スレ②,113
女性D,政治に振り回されただけの一生やったわ,スレ②,114
男性E,不憫枠の頂点で間違いないわw,スレ②,115
解説者,本日はここまで。,締め,1
解説者,"今回は、
崇徳天皇の怨霊伝説とその生涯についてのさまざまな議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,"鳥羽天皇の第一皇子でありながら父に疎まれ、
わずか五歳で即位させられた末に退位を迫られ、
保元の乱に敗れて讃岐へ流された崇徳上皇。
写経を都へ送り返されたことに絶望し、
生きながら天狗になったと伝えられるその最期は、
政治の渦に翻弄され続けた一人の人間の哀しみそのものであったように感じられた。",締め,3
解説者,"スレでも語られていたように、
後世の人々が崇徳上皇を日本三大怨霊の一つに数え、
その霊を畏れ続けたのは、
彼を追い詰めた側の後ろめたさや、
説明のつかない災いへの不安が形を変えたものだったのかもしれない。",締め,4
解説者,"崇徳の崩御からおよそ七百年後の明治に至って、
ようやく白峯神宮が創建され、
その魂が都へ迎えられた。
これほど長きにわたって人々がこの悲運の天皇を忘れられなかったことこそが、
崇徳という人物の大きさを、
静かに物語っているように思えた。",締め,5
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！,締め,6
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,7
