登場人物,セリフ,備考,番号
男性C大,"むしろ弥生で米中心になってから、
栄養が炭水化物に偏って背が縮んだって研究もあるんや。
安定して米が獲れる代わりに、
種類の少ない食事で体は小さく、
虫歯は増えた。
健康面だけ見たら稲作はプラスばかりやない",スレ①前半,18
女性D,ワイ健康診断ひっかかったばっかりやから刺さる,スレ①前半,19
男性E大,"食生活がそもそも今と全然ちゃう。
木の実・どんぐり・栗・山菜にシカやイノシシ、
貝や魚。
糖質は今より圧倒的に少なくて、
たんぱく質と食物繊維てんこ盛り。
今でいうケトジェニックに近い構成や",スレ①前半,20
男性A,完全にジムニキが目指す食事で草,スレ①前半,21
女性B下,ワイより縄文人のほうがええもん食ってて泣いた,スレ①前半,22>>20
男性C大,"交易もしっかりやっとったしな。
長野あたりで採れる黒曜石が東日本の広い範囲から出土しとって、
ムラ同士でモノを運んでネットワークがあった証拠らしい。
閉じた原始生活ってより、
案外つながっとった",スレ①前半,23
解説者,"黒曜石とは、
火山活動によって生まれた天然のガラス質の石である。",解説：黒曜石,1
解説者,"割ると鋭い断面ができるため、
縄文時代には矢じりやナイフの材料として重宝されていた。",解説：黒曜石,2
解説者,"産地が限られているにもかかわらず、
遠く離れた遺跡からも出土することから、",解説：黒曜石,3
解説者,ムラとムラの間でモノを運び合う交易のネットワークがあった証拠として知られている。,解説：黒曜石,4
女性D,"縄文クッキーとかいうのが出土しとるよな。
木の実の粉に卵や肉を混ぜて焼いたやつ",スレ①前半,24
男性E下,"それがまた栄養バランスええんよ。
狩猟採集って飢えてたイメージあるけど、
日本列島は森も海も川も豊か。
季節ごとに獲れるもんが違うから、
結果的に多様な食事になっとった",スレ①前半,25>>24
男性A下,"でも安定して獲れんやろ。
飢饉きたら終わりやん",スレ①前半,26>>25
女性B下,"そこで定住しながら栗を植えて管理しとった形跡があるんや。
三内丸山遺跡なんか巨大な栗林の真ん中に集落があって、
何百年も同じ場所で暮らしとった。
狩りだけに頼らん保険をかけとった",スレ①前半,27>>26
男性C下,三内丸山ってあの青森のでかい遺跡か,スレ①前半,28>>27
女性D,"そう。
大型の掘立柱建物の跡もあって、
想像以上に計画的なムラやった。
1万年以上ほぼ同じスタイルで続いたのが地味にとんでもない",スレ①前半,29
解説者,"三内丸山遺跡とは、
青森県にある縄文時代の大規模な集落跡である。",解説：三内丸山遺跡,1
解説者,およそ5900年前から1500年以上にわたって人々が暮らし続けたとされ、,解説：三内丸山遺跡,2
解説者,"大型の掘立柱建物の跡や、
栗を管理して育てていた痕跡が見つかっている。",解説：三内丸山遺跡,3
解説者,"狩りや採集だけに頼らず、
計画的に食料を確保していた縄文人の姿を伝える、
代表的な遺跡として知られている。",解説：三内丸山遺跡,4
男性E下,1万年同じ生活って逆にメンタル強すぎ,スレ①前半,30>>29
男性A下,"現状に満足してたんやろな。
ストレス社会のワイらと真逆や",スレ①前半,31>>30
女性B下,そら通勤も上司もおらんしな,スレ①前半,32>>31
男性C,縄文人「狩り行ってくるわ」ワイ「満員電車で会社行ってくるわ」 どっちが文明的なんや,スレ①前半,33
女性D,"いや、
クマやイノシシに襲われるリスクあるやろ。
安全面は現代圧勝や",スレ①前半,34
男性E大,"そこは認める。
外傷で命を落とすのは多かったはず。
ただ意外なことに、
縄文の人骨は争い由来の傷がめちゃ少ない。
矢じりが刺さった骨や集団同士でやり合った痕跡が、
弥生以降に比べて桁違いに少ないんや",スレ①前半,35
男性A,"え、
争いがなかったってこと？",スレ①前半,36
女性B,"完全にゼロとは言わんけど、
組織的な戦の痕跡が薄い。
土地と米を奪い合う動機が生まれたのは農耕が始まってから。
富を蓄えられるようになって初めて争いが本格化した、
という見方や",スレ①前半,37
男性C下,"平和な狩猟採集→稲作で殺伐、
はちょっと皮肉",スレ①前半,38>>37
女性D,弥生人来てから世知辛くなったんか,スレ①前半,39
男性E,教科書って縄文をなんか旧石器のオマケみたいに軽く流すよな,スレ①前半,40
男性A大,"それはほんま損しとる。
稲作を伝えた弥生上げのために縄文が原始的に見える書き方になりがちやけど、
実際は土器で煮炊きして、
漆まで使いこなして、
植林して、
装身具で着飾っとった。
十分に高度な文化やで",スレ①前半,41
女性B,"漆ってあの漆器の漆か。
原始人のイメージ崩れる",スレ①前半,42
男性C大,"その漆がすごくてな。
北海道で9000年前の漆製品が見つかっとって、
世界でも最古級なんや。
下地を塗って何度も重ねる手間のかかる技術を、
文字もない時代に何千年も受け継いどった。
ただ者やない",スレ①前半,43
女性D,縄文の土偶とか普通にアートとして完成度高いしな,スレ①前半,44
男性E下,"でも文字ないやろ。
文明とは言えん",スレ①前半,45>>44
男性A,はい論破とか言いそう,スレ①前半,46
女性B下,文字なくても1万年回せたなら逆にすごない？,スレ①前半,47>>45
男性C,"運動量も段違いや。
毎日歩いて獲物追って、
木の実拾って、
重いもん運ぶだけで現代人の運動不足とは比べもんにならん。
座りっぱなしで腰やられるワイらとは骨の鍛えられ方が違う",スレ①前半,48
女性D下,ワイのスマートウォッチが泣いとる,スレ①前半,49>>48
男性E下,一日の歩数で縄文人に完敗してそう,スレ①前半,50>>48
男性A,"感染症も少なかったんやろ？
人がぎゅうぎゅうに住んでないから",スレ①前半,51
女性B下,"それも大きい。
人口密度が低くて家畜もほぼおらんから、
人から人にうつる流行り病が広がりにくい。
都市に密集して家畜と暮らすようになってから、
人類は新しい病気をたくさん抱え込んだ",スレ①前半,52>>51
男性C下,"でも医療も薬もない時点で健康(笑)やろ。
歯が丈夫でも盲腸で終わるやん",スレ①前半,53>>52
女性D,"そこは何回でも認める。
「治療できない」のと「そもそも病気になりにくい体」は別の評価軸の話。
現代は治せるけど病気にはなりまくる、
縄文はなりにくいけど治せん。
トレードオフや",スレ①前半,54
男性E下,いい感じに噛み合っとるやんお前ら,スレ①前半,55>>54
男性A,"ワイが認めるのは虫歯と運動量だけやで。
長生きできるのは現代の勝ち、
ここだけは絶対に譲らんからな",スレ①前半,56
女性B,ワイは現代知識持って縄文に転生して無双したい,スレ①前半,57
男性C下,あく抜き楽にする方法教えるだけで長老になれそう,スレ①前半,58>>57
女性D,"都内でおしゃれな縄文カフェ開いたら流行りそう。
どんぐりクッキーとケトプレート出すんや",スレ①前半,59
男性E,客層が完全に意識高い系で草,スレ①前半,60
男性A,"で、
結局ワイら現代人は縄文人に健康で勝っとるんか負けとるんか",スレ①前半,61
女性B下,"寿命では勝っとる。
これだけは譲らん",スレ①前半,62>>61
男性C下,中身の健康度では負けてる気がしてきたわ……,スレ①前半,63>>61
解説者,"ここまでは、
縄文人が本当に現代人より健康だったのか、
さまざまな議論を見てきたが、
「ではなぜ、
そこまで健康でいられたのか？
」「彼らの暮らしの何が体を丈夫にしたのか」と、
その理由に疑問を持つ者も現れた。
たしかに、
健康の正体がどこにあったのかは気になるところである。
引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,1
男性A,"縄文人の生活ガチで調べたら、
なんであんな健康やったか分かったわ",スレ②後半,1
女性B,"前のスレで虫歯ゼロとか生活習慣病なしとか言われてたやろ。
気になって調べたら、
暮らし方そのものが健康の答えやったわ。
分かったことを順番に貼ってくな",スレ②後半,2
男性C下,健康の正体スレか,スレ②後半,3>>1
女性D下,"で、
結論なんなん",スレ②後半,4>>1
男性E大,"一番でかいのは食う中身や。
木の実、
山菜、
キノコ、
貝、
魚、
シカやイノシシ。
種類がえげつないほど多くて、
しかも砂糖も精製した炭水化物もない。
今のワイらが意識して目指す食事を毎日勝手にやってたことになる",スレ②後半,5
男性A,つまり原始時代がいちばん理想の食事ってことか,スレ②後半,6
女性B下,それはそれで皮肉な話やな,スレ②後半,7>>6
男性C下,"でも生で食ってたんやろ？
腹壊しそう",スレ②後半,8>>5
女性D下,"そこで土器よ。
煮炊きできるようになったのがめちゃでかい。
アク抜きも煮込みもできて、
消化吸収がよくなる。
固い木の実や貝も食えるようになって、
栄養の幅が一気に広がった",スレ②後半,9>>8
男性E下,土器って意外と健康インフラなんやな,スレ②後半,10>>9
男性A,"言われてみれば毎日鍋やん。
温かいもん食えるの強い",スレ②後半,11
女性B大,"保存食もちゃんと作っとった。
魚を干したり、
燻したり、
木の実を貯蔵穴に溜めたり。
獲れた時に食い切るだけやなくて、
冬に備えて蓄える知恵があった。
行き当たりばったりの原始人てイメージは古い",スレ②後半,12
男性C,"ワイ思うんやけど、
間食せえへんのもデカいやろ。
一日中ダラダラ甘いもん食う現代と違う",スレ②後半,13
女性D下,"それある。
血糖値が乱高下せん生活やからな。
腹減ったら動いて獲って食う、
のサイクルやから自然と食いすぎん",スレ②後半,14>>13
男性E,"結局よう動いてたのがいちばんやろ。
狩りも採集も全身運動やん",スレ②後半,15
男性A下,"運動量は現代人の比やない。
獲物追って何キロも歩いて、
木に登って、
重い獲物担いで帰る。
ジム代タダで毎日フルボディトレーニングしとるようなもん",スレ②後半,16>>15
女性B下,ワイの一日の歩数2000歩なんやが,スレ②後半,17>>16
男性C下,縄文人に泣いて謝れｗ,スレ②後半,18>>17
女性D,"でもさ、
平均寿命15歳の話どうなったん？
健康でも短命なら意味なくない？",スレ②後半,19
男性E下,30で逝くなら今のほうが圧倒的にええわ,スレ②後半,20>>19
男性A大,"そこ誤解されがちなんやけど、
15歳ってのは生まれた瞬間からの平均や。
赤ん坊と幼児が多く亡くなるから数字が下に振り切れてるだけ。
15を越えて大人になった人だけ見ると、
平均はぐっと上がる",スレ②後半,21
女性B,"え、
じゃあ大人は普通に長生きしてたん？",スレ②後半,22
男性C,"そう。
遺跡の人骨を年齢ごとに調べると、
60歳前後まで生きた個体がちゃんとおる。
集落に長老がおったのも作り話やない。
乗り越えるべきは乳幼児期で、
そこさえ越えたら案外しぶとい",スレ②後半,23
女性D大,"貝塚もええ手がかりなんよ。
ただの食べ残しの捨て場やと習うけど、
何を食ってたかの記録の山や。
貝の成長線を調べたら季節まで分かる。
春は貝、
秋は木の実、
みたいに一年を通して何を食ってたかが読み取れる",スレ②後半,24
解説者,"貝塚とは、
縄文人が食べたあとの貝殻や動物の骨などを捨てた場所のことである。",解説：貝塚,1
解説者,"単なる食べ残しの捨て場と思われがちだが、
そこに残されたものを調べることで、",解説：貝塚,2
解説者,"当時の人々が何を、
どの季節に食べていたかを読み取ることができる。",解説：貝塚,3
解説者,"縄文人の豊かな食生活を今に伝える、
貴重な手がかりとして知られている。",解説：貝塚,4
男性E,"なるほどなあ。
長老（20歳）とかネタにされとるけど実際は違うんか",スレ②後半,25
男性A下,"20歳長老はさすがにネタや。
さすがにそこまで若くはないｗ",スレ②後半,26>>25
女性B下,"ファッ、
長老ガチで長老の年齢やったんか",スレ②後半,27>>26
男性C大,"骨を見れば一発でな。
歯のすり減り方や骨の太さから、
その人の年齢も生前の暮らしぶりも読める。
重いもん運んで足腰が発達した跡もしっかり残っとる。
骨は嘘つかんから、
長生きの個体がおったのは確かや",スレ②後半,28
女性D,"ちな寿命を縮めてた最大の要因は病気と怪我やろ？
医療ないし",スレ②後半,29
男性E大,"そこは否定できん。
盲腸ひとつ、
骨折ひとつが命取りになる時代や。
だから「病気になりにくい」けど「なったら終わり」。
逆に現代は「なりまくる」けど「治せる」。
完全にトレードオフやねん",スレ②後半,30
男性A,"つまり健康の中身が違うだけで、
どっちが上とは一概に言えんわけか",スレ②後半,31
女性B,きれいにまとまりかけてて草,スレ②後半,32
男性C,"感染症の話も足したいわ。
人がぎゅう詰めに住んでないし、
家畜もほぼおらん。
人や動物からうつる流行り病が広がる土壌がそもそも無かった",スレ②後半,33
女性D下,"都市つくって家畜と密に暮らすようになってから、
人類は新しい病気をどっさり抱えた。
文明の代償ってやつやな",スレ②後半,34>>33
男性E大,"子どもの育て方も今と違う。
母乳の期間が長くて出産の間隔が空くから、
一気に増えはせん。
そのかわり集落みんなで子を見る形やったらしい。
少なく産んでじっくり育てる、
今の核家族より手厚い面もあった",スレ②後半,35
男性A,文明が病気連れてきたんか…,スレ②後半,36
女性B,"いや待て、
それでも歯が痛いのを我慢する生活とか無理やわ。
やっぱ現代がええ",スレ②後半,37
男性C下,急に本音漏れてて草,スレ②後半,38>>37
女性D,"そんで弥生になって稲作始まると、
いろいろ反転するんや。
米で人口は増えるけど、
食う種類が減って栄養が偏る。
虫歯は増えるし、
研究によっちゃ平均身長まで縮んだとされる",スレ②後半,39
男性E,米って完璧な作物ちゃうんか,スレ②後半,40
男性A,"カロリーと保存性は最強やで。
ただ米ばっか食うと栄養が単調になる。
あと米は富として蓄えられるから、
奪い合いの動機が生まれて争いも本格化した。
豊かさと引き換えに失ったもんもある",スレ②後半,41
女性B大,"ちな縄文には抜歯の風習もあってな。
大人になる儀式で健康な歯をわざと抜いとった。
健康の話とは逆方向やけど、
痛みに耐える通過儀礼みたいなもんで、
ムラの結束を確かめる意味があったとされる",スレ②後半,42
解説者,"抜歯とは、
縄文時代に行われていた風習で、
健康な歯を意図的に抜く習わしである。",解説：抜歯の風習,1
解説者,"成人や結婚といった人生の節目に行われたとされ、
痛みに耐えることで一人前と認められる、
通過儀礼のような意味があったと考えられている。",解説：抜歯の風習,2
解説者,"健康とは逆方向の行為に見えるが、
ムラの一員としての結束を確かめる、
縄文人ならではの文化として知られている。",解説：抜歯の風習,3
男性C,"平和な縄文→米でギスギス弥生、
流れがもう物語やん",スレ②後半,43
女性D下,"うろ覚えやけど、
弥生の遺跡からは矢じり刺さった人骨が急に増えるんやろ？",スレ②後半,44>>43
男性E下,"それや。
縄文じゃ薄かった戦い由来の傷が、
弥生で目に見えて増える。
守るべき財産ができた途端これやから、
人間ってなんもかわらんわ",スレ②後半,45>>44
男性A下,"結局ワイらは便利と引き換えに体の健康を差し出した、
と",スレ②後半,46>>45
女性B下,"まとめに入るな、
逆張りニキ呼んでこい",スレ②後半,47>>46
男性C下,"呼ばれて飛び出てきたで。
だから言うとるやろ、
医療ない時代に戻りたくないっつーの",スレ②後半,48>>47
女性D下,お前さっき本音で現代がええって言うてたやんｗ,スレ②後半,49>>48
男性E大,"実際、
研究者が縄文っぽい食生活を試す実験もあるんやけど、
糖質が減って腸の調子がようなる人は多いらしい。
ただ毎日どんぐりのアク抜きから始めるのは現代人には無理ゲー。
ええとこ取りで真似するのが現実的やな",スレ②後半,50
男性A,"ワイは普通に縄文式の食事だけ真似したい。
糖質減らして魚と木の実食う生活",スレ②後半,51
女性B下,それただの健康志向のおっさんで草,スレ②後半,52>>51
男性C,"都内に縄文ガチ勢カフェあったら行くわ。
どんぐりクッキーとシカ肉のプレート",スレ②後半,53
女性D下,値段だけ意識高い系で結局現代の財布が泣くオチやろ,スレ②後半,54>>53
男性E,縄文人「ワイらの飯が一周回って高級料理になっとるんやが」,スレ②後半,55
男性A,"ところで縄文人ってどんぐりのアク抜きどうやってたんや。
あれ相当めんどいやろ",スレ②後半,56
女性B,"水にさらしたり加熱したり、
種類で使い分けてたらしい。
手間はかかるけど、
それを集団でやる文化があったんやな。
知らんけど想像すると地味に楽しそう",スレ②後半,57
男性C下,"縄文人の週末、
アク抜き会みたいなノリやったんかな",スレ②後半,58>>57
女性D下,町内会で草,スレ②後半,59>>58
解説者,"本日はここまで。
今回は、
縄文人の健康についてのさまざまな議論を見てきたが、
いかがだっただろうか？",締め,1
解説者,2ちゃんねるの歴史オタクたちの議論を見ていると、,締め,2
解説者,"縄文人の健康は、
多様な食事・豊富な運動・適度な人口といった暮らし方そのものに支えられていたように思えた。",締め,3
解説者,"便利さを手にした私たちが、
あらためて学べることも多いのかもしれない。",締め,4
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！,締め,5
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,6
