登場人物,セリフ,備考,番号
男性E大,"天海な、
家康のブレーンやった天台宗の坊さんや。
南光坊天海。
こいつが実は山崎で死なずに生き延びた光秀やって俗説がある。
日光東照宮に桔梗紋(明智の家紋)があるとか、
日光に明智平って地名つけたとか、
根拠とされるネタはいくつかある",スレ①,75
男性A,桔梗紋はちょっとゾクッとするわ,スレ①,76
女性B下,明智平もできすぎやろ,スレ①,77>>75
男性C下,"で、
それ信じていいん?",スレ①,78>>75
女性D大,"天海説の否定論な。
まず年齢。
光秀が本能寺で55前後やとして、
天海が死んだの1643年や。
逆算すると天海116歳とかになる。
当時でその長寿はさすがに無理がある。
あと光秀の確実な生年自体が不明で、
計算の土台がグラグラなんも弱い",スレ①,79
男性E,116歳は草,スレ①,80
男性A下,さすがに盛りすぎやろ,スレ①,81>>79
女性B,ロマンはあるけど現実は厳しいか,スレ①,82
解説者,"南光坊天海は、
安土桃山から江戸初期の天台宗の僧である。
徳川家康・秀忠・家光の三代に仕えた政治顧問であり、
日光東照宮の造営に関わったほか、
家康を東照大権現として祀る神格化を主導したことで知られる。",解説：南光坊天海,1
解説者,"天海は1643年に没し、
その生年は諸説あって定かでない、
長寿の人物として伝わる。
素性が謎めいていること、
明智の桔梗紋にまつわる俗説から、
本能寺で死なずに生き延びた明智光秀の後身だとする説が後世に生まれた。
だが年代的に無理があり、
俗説の域を出ない。",解説：南光坊天海,2
男性C下,でも光秀の最期もハッキリせんのやろ?,スレ①,83>>82
女性D大,"光秀の最期な、
山崎で負けて坂本城めざして敗走中、
小栗栖(京都の山道)で落ち武者狩りの百姓に竹槍でやられたとされる。
けど遺体の確認が曖昧で、
これが「実は生きてた」系の生存説に余地与えとる。
明智左馬助の湖水渡りとかも伝説盛られてるしな",スレ①,84
男性E,落ち武者狩りであっけない最期,スレ①,85
男性A下,そこが曖昧やから天海説が湧くんやな,スレ①,86>>84
女性B,信長も光秀も遺体不明とかこの事件不明点多すぎ,スレ①,87
男性C下,だからロマンの宝庫なんよ,スレ①,88>>87
女性D大,"整理するで。
黒幕候補=朝廷/義昭/秀吉/家康/イエズス会、
動機系=怨恨/野望/四国。
どれも状況証拠か後世の創作で、
一次史料でクロと断定できるのが一個も無い。
突発的な単独説すら消えてないんが現状や",スレ①,89
男性E,きれいにまとまったわサンガツ,スレ①,90
男性A下,結局謎で草,スレ①,91>>89
女性B,でもその謎がおもろいんやけどな,スレ①,92
男性C下,"単独説ワイ、
まだ生き残ってて満足",スレ①,93>>92
女性D,ロマンと未解決のちょうどええ塩梅なんよな本能寺,スレ①,94
男性E,400年後のワイらがこうやって語っとる時点で光秀の勝ちまである,スレ①,95
男性A下,ある意味天下取っとるな,スレ①,96>>95
女性B,"結局誰が黒幕かより、
誰にも分からんのが一番おもろいって話",スレ①,97
男性C下,諸説あるやろ(結論),スレ①,98>>97
女性D,このスレ定期的に立つけど毎回結論同じで草,スレ①,99
男性E下,"謎は謎のままがええんよ。
解けたら寂しいやろ",スレ①,100>>99
解説者,"ここまでは本能寺の変の黒幕説や数々の謎をめぐって、
さまざまな議論を見てきたが、
そもそも明智光秀とは一体どのような人物だったのだろうか。",前置き,1
解説者,"前半生の大半が史料の闇に沈み、
生年すら定かでないこの男が、
いかにして織田信長の信を得て、
その重臣にまで上り詰めることができたのか。",前置き,2
解説者,"出自も判然とせぬ流浪の身から、
連歌や教養を武器に頭角を現し、
やがて近畿一円を任される織田家筆頭格の大名へと駆け上がっていく。
その劇的な生涯の軌跡を、
ここからは追ってみたい。",前置き,3
解説者,"引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,4
男性A,【謎の実力者】明智光秀の生涯を淡々と語るスレ【出自不明→大出世→本能寺→山崎】,スレ②,1
女性B下,"信長を討ったことで有名やけど、
こいつ前半生ほぼ謎なんよな",スレ②,2>>1
男性C,1528年生まれ説が有力やけど出生年すらはっきりせんのよ,スレ②,3
女性D大,"美濃の土岐氏の流れを汲む明智氏の出って言われとるけど、
これも確証ないっていうのがな。
系図が後世に整えられた可能性が高くて、
光秀本人がどこの誰でいつ生まれたかを同時代史料でビシッと示せるものが乏しい。
戦国大名の重臣にまで上り詰めた人物なのに、
前半生がここまで空白なのは珍しい部類やと思うわ",スレ②,4
男性E,信長の家臣でこんだけ謎多いのも珍しいわな,スレ②,5
男性A下,斎藤道三に仕えてた説とかもあるけど史料弱い,スレ②,6>>4
女性B,美濃を追われて流浪してた時期があるって話やろ,スレ②,7
男性C,越前の朝倉義景に仕えてたっていうのが比較的しっかりした足跡やな,スレ②,8
女性D下,"朝倉のところで鉄砲の腕を買われたとかいう話もあるが、
これも逸話寄り",スレ②,9>>8
男性E,医術の心得があったとかいう話もあったな,スレ②,10
男性A下,"とにかく若い頃の記録が薄すぎて、
創作の余地がデカいんよ光秀は",スレ②,11>>8
女性B下,細川藤孝とのつながりで足利義昭に近づいたって流れやな,スレ②,12>>11
男性C大,"流浪してた将軍候補の足利義昭、
こいつを担ぐ動きの中で光秀が表に出てくる。
義昭を擁して上洛させたい勢力と、
それを利用したい織田信長の利害が一致して、
光秀は義昭と信長の両方に仕える両属っていう微妙な立場で歴史の表舞台に登場するんよな。
最初から信長一筋やったわけやない",スレ②,13
女性D,"両属ってのが地味に重要よな、
最初は義昭の家臣でもあった",スレ②,14
男性E,"義昭が信長と決裂したとき、
光秀は信長を選んだんよな",スレ②,15
男性A下,"そこが一個目の分岐点やわ。
主君候補を切って新しい主を取った",スレ②,16>>13
解説者,"足利義昭は、
室町幕府の第十五代将軍であり、
事実上最後の将軍である。
兄の将軍・足利義輝が殺害されたのち、
各地を流浪しながら将軍の座を目指した。",解説：足利義昭,1
解説者,"その義昭を奉じて上洛させたのが織田信長であり、
義昭は念願の将軍に就いた。
明智光秀はこの過程で、
義昭と信長の双方に仕える立場として歴史に登場する。",解説：足利義昭,2
解説者,"やがて義昭は信長と対立して京を追われ、
室町幕府は事実上滅亡した。
光秀が初めに仕えた、
その出発点となった主君である。",解説：足利義昭,3
女性B,信長に乗り換えてからの出世スピードが異常なんよこの人,スレ②,17
男性C下,"京都の政務、
いわゆる京都奉行的な仕事を任されとる",スレ②,18>>17
女性D大,"よそ者からの成り上がりやのに信長にめちゃくちゃ重用されたんよな。
譜代の家臣がおる織田家で、
出自もはっきりせん中途採用が政務も軍事も任されるとこまで上がった。
相当な実力者やったんやろ",スレ②,19
男性E,比叡山焼き討ちにも関わっとるしな,スレ②,20
男性A下,その功で近江の滋賀郡もらって坂本城を築いた,スレ②,21>>19
女性B,坂本城って琵琶湖に面したええ城やったらしいな,スレ②,22
男性C下,"で、
最大の軍功が丹波平定よ",スレ②,23>>22
女性D下,丹波攻めが光秀のキャリアのハイライトやわな,スレ②,24>>23
男性E大,"丹波は国人衆がバラバラに割拠してて、
山がちで攻めにくい土地や。
波多野氏の八上城なんか長期の兵糧攻めでようやく落とした。
光秀は数年かけてここを平定して、
信長から丹波での働きは天下の面目をほどこしたって褒められたらしい",スレ②,25
男性A,信長が手放しで褒めるって相当やぞ,スレ②,26
女性B下,丹波一国もらって亀山城を本拠にした,スレ②,27>>25
男性C,"近江坂本と丹波亀山、
二つの拠点持つ重臣筆頭格よ",スレ②,28
女性D下,"与力に細川とか筒井とかついて、
軍団長クラスになっとった",スレ②,29>>28
男性E,この時点では明らかに織田家の出世頭の一人やったんよな,スレ②,30
男性A下,茶や連歌もたしなむ教養人やったって話やろ,スレ②,31>>30
女性B,"そうそう、
有職故実にも通じてて文化人寄りの武将",スレ②,32
男性C下,連歌の会をよう開いてたみたいやな,スレ②,33>>32
女性D,本能寺の直前に詠んだ「ときは今あめが下しる五月かな」が有名やけど解釈は諸説,スレ②,34
男性E,あれを謀反の決意と読むのは後付けくさいけどな,スレ②,35
男性A下,"教養あって実務もできて軍も率いれるって、
普通に優秀すぎる人材よ",スレ②,36>>35
女性B,"娘が細川忠興に嫁いだ玉、
後の細川ガラシャやな",スレ②,37
男性C下,縁戚関係も上手いこと結んでたんよな,スレ②,38>>37
女性D,"で、
問題はなんで信長を討ったかやけど",スレ②,39
男性E下,ここが日本史最大の謎の一つやからなあ,スレ②,40>>39
男性A,信長との確執は諸説ありすぎてどれが本当か分からん,スレ②,41
女性B下,折檻されたとか面目潰されたとかいう怨恨説が昔は有名やった,スレ②,42>>41
男性C,"諸説あるやろこれは、
決定打になる史料がない",スレ②,43
女性D,"信長との関係がどっかでこじれたって説はいくつもある。
人前で恥かかされた怨恨説、
使い捨てされる不安説、
四国の長宗我部の取次を外された四国説。
どれも一理あるけど決め手は無いんよ",スレ②,44
男性E,四国説は近年けっこう支持されとるな,スレ②,45
男性A下,長宗我部との取次役を外されたのは確かにキツいわな,スレ②,46>>44
女性B,黒幕説とかもあるけど陰謀論の域を出んのよな,スレ②,47
男性C下,"朝廷黒幕説、
足利義昭黒幕説、
秀吉黒幕説、
家康関与説…盛りだくさんや",スレ②,48>>47
女性D,結局のところ動機は本人にしか分からんままや,スレ②,49
男性E下,ここは前半スレで散々やったとこやから深入りせんとこ,スレ②,50>>49
男性A,"で、
1582年6月、
本能寺の変が起きるわけや",スレ②,51
女性B下,中国攻めの援軍に向かうはずが京都に取って返した,スレ②,52>>51
男性C,「敵は本能寺にあり」って言ったかどうかも怪しいけどな,スレ②,53
女性D下,"信長を討ち取って、
いったんは天下を取ったかに見えた",スレ②,54>>53
男性E,ここからの転落が早すぎるんよ光秀は,スレ②,55
男性A大,"信長を討った直後はよかったんよ。
問題はその後で、
諸大名がほとんど味方せんかった。
頼みにしてた細川藤孝・忠興の親子は剃髪して中立を決め込むし、
筒井順慶も日和って動かん。
せっかく主君を討っても、
周りが誰もついてこんかったら天下なんか維持できへんのよな",スレ②,56
女性B,細川にも筒井にも見限られたのが痛すぎる,スレ②,57
男性C下,娘婿の細川忠興すら動かんかったんやもんな,スレ②,58>>56
女性D,朝廷工作とかはしてたみたいやけど時間がなさすぎた,スレ②,59
男性E下,そうこうしてる間に秀吉が中国大返しで戻ってくる,スレ②,60>>59
男性A,備中高松から京都付近まで超スピードで軍を返してきたやつな,スレ②,61
女性B下,"あの大返しがほんま規格外なんよ、
よう間に合わせたわ",スレ②,62>>61
男性C,光秀からしたら一番来てほしくない相手が一番早く来た,スレ②,63
女性D,"秀吉が予想外の速さで戻ってきて、
味方も集まらんまま決戦になってもうた。
本能寺からわずか十日ちょいで、
討った側が討たれる側に回ったんよな",スレ②,64
男性E,"で、
山崎の戦いやな",スレ②,65
男性A下,"摂津と山城の境、
天王山のあたりで激突した",スレ②,66>>64
女性B,「天王山」って言葉の語源がこの戦いやな,スレ②,67
男性C下,"兵力差もあったし、
寄せ集めの光秀軍は崩れた",スレ②,68>>67
女性D,数で負けて士気でも負けてたらそら勝てんわな,スレ②,69
男性E下,"山崎で秀吉に敗れて、
光秀は敗走することになる",スレ②,70>>69
解説者,"山崎の戦いとは、
1582年6月13日、
本能寺の変で主君信長を討った明智光秀と、
中国大返しで畿内へ取って返した羽柴秀吉が、
摂津と山城の境にある山崎で激突した合戦である。",解説：山崎の戦い,1
解説者,"兵力で勝る秀吉軍に対し、
味方の集まらなかった光秀軍は崩れ、
敗北した。
要衝の天王山を制した側が勝ったとされ、
勝敗を分ける大一番を意味する「天王山」という言葉の語源にもなっている。",解説：山崎の戦い,2
解説者,"敗れた光秀は敗走の途上で命を落とし、
わずかな期間で天下は秀吉のものへと大きく傾いたのである。",解説：山崎の戦い,3
男性A,ここからの最期がまた哀れというか,スレ②,71
女性B下,"勝竜寺城にいったん逃げ込んだけど、
立てこもれる状況やなかった",スレ②,72>>71
男性C,坂本城を目指して落ち延びる途中やったらしいな,スレ②,73
女性D下,"山城の小栗栖あたりで、
落ち武者狩りに遭ったって話よ",スレ②,74>>73
男性E,"農民の竹槍にやられたって伝承やな、
ほんまかは知らんけど",スレ②,75
男性A,天下を一瞬取った男の最期がそれかってなるよな,スレ②,76
女性B下,"重傷を負って自害したとも、
その場で討たれたとも言われとる",スレ②,77>>76
男性C,"享年も生年がはっきりせんから確定せんのよな、
55歳前後か",スレ②,78
女性D下,首が秀吉のもとに届けられたって記録はあるんよな,スレ②,79>>78
男性E,三日天下って言われるけど実際は十日くらいはあったぞ,スレ②,80
男性A下,"「三日天下」はあくまで言葉のあやよな、
ざっくり短かったって意味",スレ②,81>>80
女性B,"光秀生存説もあるよな、
南光坊天海になったとかいう",スレ②,82
男性C,"あれは完全に俗説やろ、
年代合わんし",スレ②,83
女性D下,天海説はロマンはあるけど史料的には厳しいわ,スレ②,84>>83
男性E,"結局、
出自も謎なら最期もはっきりせんっていう",スレ②,85
男性A下,入りも出口も霧の中の人やな光秀って,スレ②,86>>85
女性B,謀反人のイメージで長いこと評価低かったけどな,スレ②,87
男性C下,近年は有能な実務家として再評価されとる流れやな,スレ②,88>>87
女性D,"領国経営も丁寧やったって話あるしな、
福知山とか",スレ②,89
男性E下,"治水とか城下町整備とか、
為政者としては評価されとるんよ",スレ②,90>>89
男性A,怨霊とか祟りとかの話があんまり付かんのも光秀らしいわ,スレ②,91
女性B下,恨みより「なんであんなことしたんや」って謎が先に立つ人やからな,スレ②,92>>91
男性C,"結局、
謎多き実力者が一瞬だけ天下に手をかけて転がり落ちた話よ",スレ②,93
女性D,出自不明の流れ者が重臣筆頭まで上がった時点で十分すごいんよ,スレ②,94
男性E下,そのすごさと本能寺の不可解さが噛み合わんのが光秀の面白さやな,スレ②,95>>94
男性A,"まとめると、
前半生謎→朝倉義昭経由で信長へ→丹波平定で大出世→本能寺→山崎で敗北→小栗栖で最期",スレ②,96
女性B下,きれいな出世物語が一個の謀反で全部ひっくり返るのがな,スレ②,97>>96
男性C,動機が分からんままなのが逆にずっと語られる理由なんやろな,スレ②,98
女性D下,"有能やったのは間違いない、
それは史料が示しとる",スレ②,99>>98
男性E,"謎は謎のままでええわ、
その方が光秀らしい",スレ②,100
解説者,本日はここまで。,締め,1
解説者,"今回は、
本能寺の変の謎と、
明智光秀の生涯についてのさまざまな議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,2ちゃんねるの歴史オタクたちの議論を見ていると、,締め,3
解説者,"光秀は前半生も謀反の動機も謎に包まれたまま、
主君である信長を討ちながら、
わずか十数日で敗れ去った男であり、",締め,4
解説者,"その謎の多さゆえに、
黒幕説や生存説などさまざまな憶測を生み、
後世の人々の想像をかき立て続けてきたのではないかと思えた。",締め,5
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！,締め,6
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,7
