登場人物,セリフ,備考,番号
解説者,"東国では坂東の武者・平将門が、
西国では藤原純友が同時期に朝廷に反旗を翻した。",解説：承平天慶の乱,2
解説者,"将門は下総国（現在の千葉・茨城県あたり）を中心に勢力を拡大し、
「新皇」を名乗って東国の独立を宣言した。",解説：承平天慶の乱,3
解説者,"しかし朝廷が派遣した藤原秀郷・平貞盛らに討たれ、
わずか数ヶ月で鎮圧された。
この乱は武士が歴史の表舞台に立つ最初の転換点となったのである。",解説：承平天慶の乱,4
女性D,"言われてみれば将門の呪いって
反幕府の思想を潰すには
うってつけだったな",スレ①,48
スレタイ,平将門「ちょっとキレて暴れただけじゃん。」,スレ①,49
男性E大,平将門「ちょっとキレて暴れただけじゃん。」,スレ①,50
男性A,関東の戦を抑えようとしただけなのになぁ,スレ①,51
女性B,死後もオカルト系のおもちゃにされてる,スレ①,52
男性C,首だけで飛んで行ったのはまずかったわ,スレ①,53
女性D,"都市開発で墓を移そうと壊そうとしたら
従業員が次々倒れたらしいな
だから高層ビル群のど真ん中に不自然にある
そして囲まれたビルは全部正面入口が墓を向いてる
ケツ向けて建てたら怒らせるとかなんとか",スレ①,54
男性E下,"首塚壊そうとした作業員を祟ったじゃん
あれはお前が悪い",スレ①,55
男性A,"日本の歴史で唯一、現天皇家を滅ぼして
自分が新しい天皇になろうとした人物",スレ①,56
女性B,"嘘らしいけど山手線はこの人の祟りを抑えるために
丸くして結界にしてるって話好き",スレ①,57
男性C,"一族で喧嘩して身内に勝っただけで
強いと勘違いして天皇名乗って鎮圧されただけ
それも本隊じゃなく先遣隊みたいなのにボロ負け",スレ①,58
女性D,茨城では今も崇拝されてる,スレ①,59
男性E,メガテンによく出てる人,スレ①,60
男性A下,アトラス社員に危害加える亡霊,スレ①,61
女性B,"こう見ると将門って敵対した相手にしか祟ってないよな
別に都民に暴れてるわけじゃない",スレ①,62
男性C下,だから東京の守り神として成立してんやろな,スレ①,63
女性D,"1000年以上前の人間の首塚が
現代の高層ビル街ど真ん中に残り続けてるって
改めて考えるとヤバい話やな",スレ①,64
男性E下,"しかも土地の値段が大手町で1坪数百万円レベルやで
それでも動かせないっていうね",スレ①,65
男性A,"討ち取られて怨霊になって
1000年以上現役って将門のエネルギーどうなってんの",スレ①,66
女性B,"まあ怨念の強さと比例して祀られ方も豪華になってくんやろな
怒らせたらやばいから必死に鎮めてきた1000年",スレ①,67
男性A,平将門って聞くとセットで加藤保憲が浮かぶ,スレ①,68
男性C,"ていうか入口墓に向けたら、
ビルに入る人全員墓にケツ向けることにならん？",スレ①,69
女性D下,"そういうことや
そういう設計にしたビルは正面入口が墓と逆向きになってる",スレ①,70
男性E,藤原純友「俺は許された」,スレ①,71
男性A,授業でやらないから何したかマジで知らない,スレ①,72
スレタイ,将門ってマジヤバイんだっけ？,スレ①,73
女性B大,将門ってマジヤバイんだっけ？,スレ①,74
男性C,"天皇倒してなんて言ったんだ？
東日本は俺のモノってだけだと思ってた",スレ①,75
女性D,"平氏が栄華を極めるのずっと後だよね
よく一族郎党根絶やしにされなかったね",スレ①,76
男性E,皇族の血を受け継いでいる人だろう？,スレ①,77
男性A,"瞳孔が2つあって鉄の身体を持ち
6人の影のない影武者がいて武器は金棒
馬の蹄を引きちぎる怪力持ち
みたいな漫画で読んだな",スレ①,78
解説者,"ここまでは、
平将門が怨霊と恐れられるようになった理由や
その反乱の経緯についての議論を見てきたが、
「実際に首塚に関わった人間は本当に祟られるの？」
「大蔵省やGHQが挑んで撃退されたってマジなの？」
と、首塚の祟りの実話について疑問を持つ者も現れた。
たしかに、笑い話では済まされないレベルの
""実際に起きた出来事""があるとすれば、
一体どれほどのものなのだろうか。
引き続き、2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,1
解説者,"将門の首塚をめぐっては、
笑って済ませられないほどの実話が積み重なっている。",解説：首塚の祟り年表,1
解説者,"まず1923年、関東大震災の後に
大蔵省が首塚の跡地に仮庁舎を建設しようとしたところ、
大蔵大臣をはじめ工事関係者ら14人が
相次いで命を落とした。
大蔵省は急遽仮庁舎を取り壊し、首塚を復元した。",解説：首塚の祟り年表,2
解説者,"さらに1940年、将門没後ちょうど1000年目の年に、
大蔵省庁舎が落雷による火災で全焼。
負傷者100人を超える大惨事となった。",解説：首塚の祟り年表,3
解説者,"そして第二次大戦後、
GHQが区画整理のため首塚の撤去を計画。
工事を開始したところ、ブルドーザーが転倒して
運転手が落命し、計画は中止された。
GHQですら勝てなかった相手が、将門の首塚だった。",解説：首塚の祟り年表,4
解説者,"さらに首塚に隣接して建てられた長銀のビルでは、
塚に面した部屋の行員が次々と病気で倒れたため、
大規模なお祓いを行ったが、長銀はそのまま1998年に経営破綻した。",解説：首塚の祟り年表,5
スレタイ,東京にある「将門の首塚」とかいう曰くつきの場所・・・,スレ②,1
男性A大,"東京にある「将門の首塚」とかいう
曰くつきの場所…噂とかやなくて全部実話やで",スレ②,2
女性B,"なお爆笑問題太田がドロップキックしても
何もなかった模様",スレ②,3
男性C下,ドロップキックした（ドロップキックなんてしてない）やぞ,スレ②,4
女性D下,将門「なんやこいつ無礼やな！！芸能界干したろ！！」,スレ②,5
男性E下,やさC,スレ②,6
男性A,どんどん祟りが弱くなってて草,スレ②,7
女性B下,昔より科学の進歩で倒れなくなったからな,スレ②,8
男性C下,"大蔵省時代：14人落命 / GHQ時代：1人落命 / 現代：仕事干される
規模縮小してるのは確かやな",スレ②,9
女性D,"ここの前通ると涼しいのはガチ
急に空気変わる",スレ②,10
女性D,"ATLUS、将門をナメる
↓
ゲーム開発中に原因不明のトラブルが頻発
↓
将門公へ参詣してゲームの表記を「マサカドこう」にしたらぴたりと納まった",スレ②,11
男性E,"そもそもなんで京都に運ばれた平将門の首塚が
なんのゆかりもない関東にあるんだって話だよね",スレ②,12
男性A下,"なんか叫びながら飛んでって東京で落ちて
自分で井戸で首洗ってたからしゃーない",スレ②,13
男性E,"ただ飛んで来た訳じゃないから
「はよ体くっつえや！もう一回戦うぞー！」って
大声で叫びながら飛んで行って
途中何回も色んな場所でバウンドしとるから
そのバウンドした場所も塚になってるし",スレ②,14
男性A,"三井物産が新しくビル立てたけど
偉い人のデスクと会議室は
全席首塚に背を向けない設計になってる",スレ②,15
女性B下,窓も絶対塚を直接見下ろせない設計になってるらしいね,スレ②,16
男性C,"周辺の大企業がガチで信じてここに
窓向けないような建物にしたり
デスクを尻を向けない配置にしてるんですけど",スレ②,17
女性D,"心霊スポットちゃうで
将門は当時の庶民には税金搾取でめちゃくちゃやってた
国府に逆らうヒーローやったんやぞ",スレ②,18
男性E下,だから大蔵省目の敵にしとるんか,スレ②,19
男性A,"数十年にわたり地元のボランティア団体が
清掃・整備を行っているが、
その資金の預金先として隣接する銀行に
「平将門」名義で口座が開かれていたんやで",スレ②,20
女性B,"小木が心霊ロケで処刑場跡でふざけてたら
首に激痛が走って
首塚に行って「将門さん、助けて下さい！」と言ったら
痛みが消えたらしい",スレ②,21
男性C,"おぎやはぎが首塚でふざけてて
小木「バチ当たりなことしてやろう」
矢作「いやそれはモラルに反する」
小木「俺たちにモラルがあって良かったな！
だが俺たちを脅しても信じねえぞ！
信じて欲しかったら俺たちを売れさせてみろ！」",スレ②,22
女性D,移設するだけやろ、神田明神公認や,スレ②,23
女性D,ただの石ころに大げさやろ,スレ②,24
男性E下,工事関係者14人が亡くなってるんだよな,スレ②,25
男性A下,将門優しくて草,スレ②,26
女性B下,芸能界のドンかな？,スレ②,27
スレタイ,【祟り】平将門の首塚、改修工事が始まったで,スレ②,28
男性C大,【祟り】平将門の首塚、改修工事が始まったで,スレ②,29
女性D,歌舞伎座みたいに犠牲者出まくりそう,スレ②,30
男性E,あっ…（察し）,スレ②,31
男性A,忌み地不可避,スレ②,32
女性B,首浮遊不可避,スレ②,33
男性C,将門公マジ容赦ないな,スレ②,34
女性D,令和になっても現役ってすごすぎる,スレ②,35
男性E,日本滅亡や,スレ②,36
男性A,このレベルで核兵器以上の取り扱いは草,スレ②,37
女性B下,核兵器以上は草,スレ②,38
男性C,昨日デカい地震あったのってこれのせいか？,スレ②,39
女性D,首都直下来るか,スレ②,40
男性E,手当もらえないなら絶対やりたくないやつ,スレ②,41
男性A,首塚だけには手だししたらあかんやろ,スレ②,42
女性B,"これで東京にも自然災害が来る
今まで平将門公の結界で東京が守られてたのに",スレ②,43
男性C,"一昨日の地震は前触れか
これは大変な事やと思うよ",スレ②,44
女性D,"こりゃ先人たちの話通りに
地震か津波か大火事か来るわな",スレ②,45
男性E,改修工事で一時的にバリア解除みたいな感じになってんのか,スレ②,46
男性A下,"工事が終わって新しい首塚になったら
逆にパワーアップするんちゃうか",スレ②,47
女性B,将門「全然ヘコたれへんぞ、まだやれるぞ」感あって草,スレ②,48
男性E,1000年以上祟ったしもうええやろ,スレ②,49
男性A,さすがに壊さんやろ,スレ②,50
女性B,流石に小さくしてどっかに移動させるんやろ,スレ②,51
男性C,"マサカドのバリアが…
東京終わったな",スレ②,52
女性D,"将門ってそんな何千年も祟れるほど悲惨な最期だったか？
歴史上ならもっと可哀想な奴いっぱいおるやろ",スレ②,53
女性D,平将門って具体的に何したんや？名前しか知らんわ,スレ②,54
男性E下,"当時の朝廷に反乱して
新皇（新しい天皇）を名乗った",スレ②,55
男性A下,なんでそいつがめっちゃ祟ってるんや,スレ②,56
女性B下,分からん,スレ②,57
男性C,このスレ見てる奴ら祟られそう,スレ②,58
女性D,"私達なんJ民は、
平将門を応援しています。",スレ②,59
男性E,関係者謎の怪我とか病気になりそう,スレ②,60
男性A,"将門公の祟り一部
・大蔵省再建工事中に大蔵大臣や工事部長など14人が急逝
・再建後、大蔵省庁舎落雷により20棟全焼（負傷者100人超）
・GHQの塚整地計画でブルドーザーが横転し運転者落命",スレ②,61
女性D下,どうすんのこれ,スレ②,62
男性E下,結構頑張ってて草,スレ②,63
男性A,"改修工事のお知らせに
没後1081年にあたり第6次目の改修工事を実施します
「皆様に愛される将門塚を目指して」って書いてるぞ",スレ②,64
女性B下,没後1081年て,スレ②,65
男性C下,ゆるキャラ化でもするんか？,スレ②,66
女性D下,萌えキャラ化不可避,スレ②,67
男性E下,何回もやってるなら大丈夫やん,スレ②,68
男性A,国そのものが迷信を信じてるって凄いな,スレ②,69
女性B下,"病は気からって言うし
何かあったら理由探したくなるからな",スレ②,70
男性C,東京の守り神やぞ,スレ②,71
女性D,"今ではパワースポット扱いやし
観光名所になってるしな
歴史的な場所は残した方がええわ",スレ②,72
男性E,全部噂やんけ,スレ②,73
男性A下,"呪いかどうかは別として
起きた事は全部実話なんだよなあ",スレ②,74
女性B,"まあ地鎮祭とかやるやろ？
ガチで信じてる層は一定数いるんやで",スレ②,75
男性C,"民俗信仰とかを思考停止で否定するのも
浅はかに見える
たまたま今の科学で否定されてるのを
自分の知識だと思い込んでるだけやろ",スレ②,76
女性D,"2015年、ATLUS社が女神転生でマサカドを仲魔にしようとしたとき
ゲーム開発中に原因不明のトラブルが頻発
将門公へ参詣してゲームでの表記を「マサカドこう」にしたら
ぴたりと止まったって話は本当にあった",スレ②,77
男性E,"将門「なんの節目でもなくて草
バーチャル化かな？」",スレ②,78
男性A,"「からだからだ…」言いながら飛んでって
途中何回もバウンドしたから
バウンドした場所それぞれに首塚ができたんやで",スレ②,79
女性B,"菅原道真「首が飛んで弟子を追いかけた」みたいな話ないよな
将門だけやろそういう行動力あるの",スレ②,80
男性C,"そもそもこれ怨霊として祀っておいた方が
朝廷にとって都合がよかったんじゃないの
反乱しようとするやつへの牽制として",スレ②,81
女性D下,"言われてみれば将門の呪いって
反幕府の思想を潰すにはうってつけだったな",スレ②,82
男性E,"しかし1000年以上そのポジション守り続けてるって
凄まじいことやと思う",スレ②,83
男性A,"首塚の前を通った体験談とか
急に寒くなったとか風が変わった言う人多いよね",スレ②,84
女性B,"将門の領地だった茨城県では今も
「平将門公」として本当に尊敬されてるんやで
関東の英雄として",スレ②,85
男性C,"神田明神に行ったら将門も祀られてるよ
学問のお願いに行ったら将門にもお参りすることになる",スレ②,86
女性D下,"皇族の方が神田明神行っても
何事もなかったからセーフって話好き",スレ②,87
男性E,"結局一番怖いのは将門を祀ってない時やな
祀って感謝してる分には何も起きない",スレ②,88
男性A,"今回の改修工事も神田明神が公認して
保存会がちゃんと立ち会いするから大丈夫らしい",スレ②,89
女性B,"でも作業員の人はめちゃめちゃ嫌やろな
手当もらえるならやるけどな額による",スレ②,90
男性C下,"神田明神公認ってことは将門公もOK出してる
みたいな解釈になってるんかな",スレ②,91
女性D,"結局1000年経っても将門の話が尽きないのは
それだけ日本人の心に刺さってる部分があるってことやろ",スレ②,92
男性E,"負けたのになぜか語り継がれ続ける
日本史広しといえど将門ほど独特な存在はおらんな",スレ②,93
男性A,"次の改修工事の時も絶対またこういうスレ立つやろな
伝統行事になってんじゃん",スレ②,94
女性B,"そもそも将門が怒ってるのは朝廷に対してやから
一般市民は普通にお参り行けばいいだけやしな",スレ②,95
男性C,"将門「俺の怨念は権力者に向けたもんで
一般市民には関係ないで」みたいな
ちょっと義の怨霊感あるな",スレ②,96
女性D,"朝廷から見たら反逆者やけど
民衆から見たら英雄やった人物が
1000年後も語り継がれてるってエモいな",スレ②,97
男性E,"日本人ってこういう「負けたけど魂で生き続ける存在」好きすぎる
将門しかり義経しかり",スレ②,98
男性A,"将門さん今日も大手町で仕事頑張ってるんやなって思うと
なんか愛着わいてくるわ、お参りしてみよかな",スレ②,99
解説者,本日はここまで。,締め,1
解説者,"今回は、平将門の反乱と首塚の祟りについての
さまざまな議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,2ちゃんねるの歴史オタクたちの議論を見ていると、,締め,3
解説者,"将門は単なる反乱者というより、
当時の庶民から見れば圧政に立ち向かった英雄であり、",締め,4
解説者,"その怨念が大蔵省も、GHQも、長銀までも
次々と返り討ちにしてきた事実は
1000年の時を超えても変わらないと思えた。",締め,5
解説者,"今回の動画について他の意見や
感想があったらぜひコメントで教えてね！",締め,6
解説者,"他にも歴史にまつわる情報をまとめた
動画が満載なので、ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,7
